circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمانة,أمن شامل لانقاذ تونس,اتحاد الشباب الديمقراطي,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارادة,التحالف الديمقراطي,التكتل من اجل العمل والحريات,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجريد,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الشعب يريد,الصمود,العقل مفتاح التطور والنمر,العمل والأمل,العين الحمراء,المؤتمر من أجل الجمهورية,النخلة,تونس العزيزة,تيار المحبة,جبهة الاحرار,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة وفاء,حزب الأمان,حزب الغد,حزب النور للديمقراطية والتنمية,شمس الجنوب,صحوة الجريد,صوت الجريد,صوت شعب تونس,كلمة حق,لمجد الجريد,حركة نداء تونس,ولاء,observers
18,5,2,44,5,484,248,600,0,352,352,248,600,0,0,246,1,1,248,0,False,1832,2030,0,1,0,0,16,28,5,30,4,1,1,2,0,0,5,5,1,0,2,0,3,0,0,0,0,1,0,0,0,66,8,0,0,2,0,0,1,1,0,4,35,24,شمس الجنوب:1  ولاء:1  حركة النهضة:1  نداء تونس:1  
18,5,2,44,4,487,263,600,1,336,337,263,600,0,0,254,6,3,263,0,True,"18,40","20,34",0,0,0,0,5,32,3,40,6,1,3,0,1,0,6,0,6,0,1,0,6,0,0,0,0,2,0,0,0,93,7,0,0,4,0,0,3,0,1,2,13,19,الحزب الجمهوري:  نداء تونس:  الجبهة الشعبية:  حركة النهضة:  
18,5,2,44,3,487,319,599,0,280,280,319,599,0,0,307,6,6,319,0,False,1833,,0,0,0,0,7,31,3,40,5,0,3,0,0,0,6,2,2,1,0,1,11,0,0,0,0,0,0,1,0,118,7,0,1,0,0,0,3,0,0,1,23,41,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  الحزب الجمهوري:1  الارادة:1  ولاء:1  
18,5,2,44,2,487,407,600,14,180,194,406,600,0,1,397,6,3,406,0,True,1838,2045,0,3,0,0,1,47,8,45,1,2,2,1,0,0,9,1,4,0,3,0,3,1,0,4,1,0,0,1,1,167,3,1,1,2,0,0,2,1,1,2,45,34,حركة النهضة:1  نداء تونس:1  المؤتمر من أجل الجمهورية:1  الحزب الجمهوري:1  الاتحاد الوطني الحر:1  
18,5,2,44,1,487,382,600,7,212,219,382,601,1,0,352,14,16,382,0,False,18:30,22:40,5,1,0,1,10,35,4,48,2,1,1,1,2,2,2,2,3,0,1,1,6,2,2,3,1,2,2,0,2,99,4,0,0,5,0,0,3,4,1,1,54,39,حركة النهضة:1  الحزب الجمهوري:1  نداء تونس:1  لمجد الجريد:1  التحالف الديمقراطي:1  
18,5,1,43,3,426,200,500,0,300,300,200,500,0,0,192,5,3,200,0,True,18?37,19?50,0,0,0,0,10,21,4,7,0,1,0,2,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,7,0,91,3,0,0,0,0,0,1,1,0,1,21,16,حركة النهضة:  الجبهة الشعبية:  نداء تونس:  الحزب الجمهوري:  
18,5,1,43,2,427,284,600,2,314,316,284,600,0,0,274,3,7,284,0,False,"12,25","20,30",0,2,0,2,11,37,7,8,0,0,1,4,0,0,2,4,1,0,0,0,3,2,0,3,0,0,0,7,3,141,1,0,0,0,0,0,1,0,0,1,24,9,الاتحاد الوطني الحر:  نداء تونس:  الحزب الجمهوري:  الارادة:  حركة النهضة:  لمجد الجريد:  ولاء:  
18,5,1,43,1,427,312,500,0,188,188,312,500,0,0,284,18,10,312,0,False,18.30,22.25,2,0,1,0,6,40,8,11,0,0,1,2,0,1,0,0,2,0,0,1,2,2,3,0,0,0,0,7,1,132,6,0,0,3,0,1,2,1,2,2,32,13,حركة النهضة:1  الارادة:1  نداء تونس:1  الحزب الجمهوري:1  
18,5,1,42,5,590,257,700,4,439,443,257,700,0,0,252,1,4,257,0,False,1845,2015,1,0,0,1,15,33,8,13,1,1,0,4,1,0,13,2,0,0,2,0,1,0,0,0,0,1,0,7,3,91,6,0,0,0,0,0,2,0,0,6,25,15,نداء تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  
18,5,1,42,4,590,298,600,1,301,302,298,600,0,0,289,2,7,298,0,False,1845,2030,0,1,1,1,4,45,1,26,1,0,1,6,1,0,9,0,0,0,0,0,2,0,3,0,0,0,0,6,5,107,5,0,0,1,0,1,3,0,0,4,35,20,حركة النهضة:1  الحزب الجمهوري:1  نداء تونس:1  
