circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أجيال التحدي,أهداف الثورة أولا,االتكتل من اجل العمل والحريات,اتحاد القوى الشبابية,الأصالة,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغاربي,الطليعة الشبابية,العريضة الشعبية,المؤتمر الشعبي,المؤتمر من أجل الجمهورية,المستقبل من أجل تونس,الوحدويين الاحرار,الوفاء لمشروع الشهيد,اليسر,تونس العزيزة,تونسنا الغالية,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب العمل التونسي,حزب المبادرة,حزب المجد,حزب الوسط الاجتماعي,صفاقسنا,صوت الريف,صوت صفاقس,قوى 14 جانفي,observers
24,6,4,108,4,532,383,597,1,213,214,383,597,0,0,380,1,2,383,0,False,18.20,20.30,38,0,0,2,0,0,6,2,4,16,0,26,0,0,0,1,8,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,52,200,1,1,1,4,1,0,0,1,7,0,الاتحاد من اجل تونس:1  آفاق تونس:1  حركة نداء تونس:1  حركة النهضة:1  االتكتل من اجل العمل والحريات:1  
24,6,4,108,3,532,396,600,0,204,204,396,600,0,0,391,3,2,396,0,False,1830,2049,26,0,0,4,0,0,5,2,7,18,0,26,0,1,0,0,9,0,0,0,0,5,1,0,0,0,1,0,3,0,0,0,75,197,4,1,0,0,0,1,0,0,5,0,التحالف الديمقراطي:1  حركة النهضة:1  حزب المبادرة:1  حركة نداء تونس:1  
24,6,4,108,2,532,453,600,3,144,147,453,600,0,0,445,4,4,453,0,False,1900,2115,21,0,0,2,0,0,2,1,9,14,0,27,0,0,0,0,15,0,0,0,1,8,1,0,0,0,4,0,1,1,0,2,93,224,4,1,1,2,1,0,0,0,9,1,آفاق تونس:1  حركة نداء تونس:1  حركة النهضة:1  
24,6,4,108,1,532,442,604,0,162,162,442,604,0,0,438,1,3,442,0,False,1835,,14,0,1,2,1,0,2,0,11,19,1,25,1,0,0,0,6,1,1,0,1,4,1,0,1,0,0,1,1,0,1,0,67,258,3,1,2,1,3,0,1,0,4,3,آفاق تونس:1  حركة نداء تونس:1  تونس العزيزة:1  حزب المبادرة:1  التحالف الديمقراطي:1  حركة النهضة:1  
24,6,4,107,4,556,422,600,1,177,178,422,600,0,0,420,1,1,422,0,False,19.10,20.30,42,0,0,2,0,0,6,2,5,22,0,23,0,0,0,1,8,0,0,0,1,11,0,0,0,0,0,0,0,1,0,0,49,224,2,2,1,5,0,0,0,0,13,0,آفاق تونس:1  حركة نداء تونس:2  حركة النهضة:1  حزب المبادرة:1  
24,6,4,107,3,557,456,600,2,142,144,456,600,0,0,452,0,4,456,0,True,19.05,21.35,30,0,0,2,0,0,7,4,7,18,0,11,0,0,0,0,6,4,0,0,0,8,0,0,0,0,0,0,3,2,0,1,87,252,0,1,1,2,0,0,1,0,5,0,حركة نداء تونس:1  حركة النهضة:1  
24,6,4,107,2,557,489,600,0,111,111,489,600,0,0,486,3,0,489,0,True,19.00,21.30,29,0,1,1,0,0,2,4,4,19,0,23,0,0,0,0,7,0,1,1,0,8,1,0,0,0,1,0,1,1,0,1,106,255,1,6,1,3,3,1,2,0,3,0,الجبهة الشعبية:1  التحالف الديمقراطي:1  آفاق تونس:1  حركة نداء تونس:1  حركة النهضة:1  حزب المبادرة:1  
24,6,4,107,1,557,490,600,0,110,110,490,600,0,0,485,4,1,490,0,False,18:40,21:30,13,0,0,6,0,1,5,2,3,6,0,16,2,3,1,0,6,0,0,1,1,5,0,1,0,0,0,1,1,1,0,2,67,326,1,1,1,3,1,2,0,0,5,1,حركة النهضة:2  حركة نداء تونس:1  حزب المبادرة:1  تونس العزيزة:1  
24,6,4,106,8,536,410,600,0,197,197,410,607,7,0,407,3,0,410,0,False,19:22,21:12,35,1,0,1,1,0,15,2,5,22,0,31,0,0,0,0,8,0,1,1,1,9,0,0,0,0,4,1,2,0,0,0,44,205,1,1,1,0,1,0,2,0,12,0,حركة النهضة:1  حركة نداء تونس:1  الحزب الجمهوري:1  التيار الديمقراطي:1  
24,6,4,106,7,537,397,600,2,201,203,397,600,0,0,396,1,0,397,0,False,18:48,20:55,22,0,0,1,0,0,3,1,6,14,0,25,0,0,0,0,6,0,0,1,0,3,0,0,0,0,0,0,2,1,0,0,72,221,3,1,3,0,0,0,3,0,8,0,آفاق تونس:1  حركة النهضة:1  حركة نداء تونس:1  
