circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,أبناء الشعب,أمن شامل لانقاذ تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الثقافة والعمل,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الجمهوري,الحزب الجمهوري المغربي,الحزب الليبرالي التونسي,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,القائمة البرقيبية,المؤتمر من أجل الجمهورية,النور للديمقراطية والتنمية,اليد في اليد,تونس للجميع,تيار المحبة الائتلافية ,تيار صوت الشعب الحر,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب التكتل,حزب العمل التونسي,حزب اللقاء الدستوري,حزب المبادرة,حزب المجد,صوت شعب تونس,عزم-توكل-بناء,لنا الحق,محيطنا نماء لثروتنا,نداء قرطاج,observers
2,6,4,54,3,558,490,601,1,110,111,490,601,0,0,478,3,9,490,0,True,18:20,,1,1,0,1,18,1,7,10,1,4,11,1,16,1,0,1,0,1,0,0,0,0,8,0,0,4,1,0,0,0,0,3,87,290,3,2,0,0,2,1,0,0,1,1,0,حركة نداء تونس:1  حركة النهضة:1  
2,6,4,54,2,558,510,600,2,89,91,509,600,0,1,501,6,2,509,0,True,18h15,21h50,0,1,0,1,20,0,2,14,0,3,9,0,23,2,0,0,5,0,1,1,1,3,5,0,0,1,0,0,2,2,0,0,65,329,2,5,1,1,1,0,1,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  افاق تونس:1  
2,6,3,53,8,552,395,600,0,205,205,395,600,0,0,390,1,4,395,0,False,19300,2130,0,1,0,0,31,0,10,1,1,4,7,0,21,0,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,27,267,3,2,1,0,0,0,0,0,0,0,1,حركة نداء تونس:1  
2,6,3,53,7,553,438,600,3,159,162,438,600,0,0,432,4,2,438,0,False,1835,2130,0,0,0,0,35,0,9,13,0,1,7,0,15,1,0,0,5,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,22,310,1,2,0,0,3,0,0,0,0,0,2,الجبهة الشعبية:1  حركة نداء تونس:1  حركة النهضة:1  
2,6,3,53,6,553,429,600,1,170,171,429,600,0,0,426,3,0,429,0,True,1900,2235,0,0,0,0,41,0,4,5,0,1,14,0,15,0,1,0,3,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,31,295,1,1,1,0,5,0,0,0,0,0,0,حركة نداء تونس:1  افاق تونس:1  
2,6,3,53,5,553,426,600,4,170,174,426,600,0,0,424,0,2,426,0,False,18.45,21.30,0,0,0,1,25,0,7,5,0,3,20,0,17,0,0,0,6,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,45,280,2,2,0,0,2,4,0,1,0,0,0,الاتحاد من أجل تونس :1  حركة نداء تونس:1  
2,6,3,53,4,553,464,600,2,136,138,464,602,2,0,464,0,0,464,0,False,1945,2235,0,0,0,0,25,0,11,7,0,3,19,1,13,1,1,0,5,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,58,305,2,2,0,0,1,3,0,0,1,0,1,افاق تونس:1  حركة نداء تونس:1  حركة النهضة:1  
2,6,3,53,3,553,470,600,3,127,130,470,600,0,0,464,2,4,470,0,False,19:05,22:29,0,0,1,0,27,1,4,8,0,2,6,0,15,0,1,0,5,0,1,0,0,0,5,1,0,0,0,0,0,1,0,0,49,329,1,2,1,0,2,1,0,0,0,2,0,حركة النهضة:1  حركة نداء تونس:1  حزب المبادرة:1  
2,6,3,53,2,553,492,600,4,104,108,492,600,0,0,489,3,0,492,0,False,18:20,22:30,0,0,0,2,15,0,3,12,1,1,2,0,10,1,2,0,5,1,0,0,0,0,3,0,0,1,3,0,0,1,0,0,43,360,1,5,0,0,6,5,0,0,1,1,4,حركة النهضة:1  حركة نداء تونس:1  الاتحاد من أجل تونس :1  
2,6,3,53,1,553,470,600,5,126,131,469,600,0,1,464,2,3,469,0,False,18:40,22:10,0,1,0,0,11,0,3,8,0,3,7,0,3,1,2,0,4,1,1,0,1,0,4,0,0,1,1,1,0,0,0,0,37,362,4,2,1,0,3,2,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  
2,6,3,52,8,594,505,700,0,195,195,505,700,0,0,500,3,2,505,0,True,19:30,21:45,0,2,0,0,45,0,4,18,0,4,6,1,17,1,1,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,25,355,0,1,0,0,1,0,0,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  الاتحاد من أجل تونس :1  
