circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الأمان,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الاصلاح والمواطنة ,الانقاذ,التحالف الديمقراطي,التطلع,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الجمهوري,الحزب الديمراطي للعدالة والرخاء,الرفاهة,الشباب الديمقراطي,الشعب يريد,العدالة والتنمية,العزة لتونس,العزم والارادة والعمل,المؤتمر من أجل الجمهورية,المبادرة,تيار المحبة ,تيار صوت الشعب الحر,حركة التونسي,حركة النهضة,حركة وفاء,حزب المجد,صوت شعب تونس,فلاح,حركة نداء تونس,نضال كريم,observers
21,2,3,22,1,509,390,596,5,201,206,390,596,0,0,366,19,5,390,0,True,18:30,23:51,4,2,1,0,4,4,1,1,0,1,2,6,1,6,1,1,0,1,3,4,5,10,16,0,73,1,2,2,154,60,0,حركة النهضة:1  فلاح:1  تيار صوت الشعب الحر:1  تيار المحبة :1  نداء تونس:1  
21,2,2,21,2,325,190,400,0,210,210,190,400,0,0,170,18,2,190,0,False,18:00,20:14,1,0,2,0,1,0,0,0,1,11,1,3,0,5,1,0,0,0,0,2,2,4,1,0,45,1,4,0,13,71,1,حركة النهضة:1  فلاح:1  نداء تونس:2  تيار صوت الشعب الحر:1  
21,2,2,21,1,325,251,394,2,141,143,251,394,0,0,222,18,11,251,0,False,18:00,21:30,1,0,3,0,2,0,4,1,2,4,1,3,1,4,0,4,1,2,0,0,2,7,4,2,58,1,10,1,4,100,0,فلاح:1  حركة النهضة:1  آفاق تونس:1  نداء تونس:1  الحزب الجمهوري:1  
21,2,1,20,2,510,316,600,0,284,284,316,600,0,0,301,10,5,316,0,True,,20:18,4,0,8,0,0,0,3,1,4,68,1,4,0,4,0,2,0,0,0,7,5,1,0,3,118,2,0,0,4,62,0,آفاق تونس:1  حركة النهضة:1  نداء تونس:1  المؤتمر من أجل الجمهورية:1  
21,2,1,20,1,511,391,600,0,209,209,391,600,0,0,366,13,12,391,0,True,18:10,20:25,7,1,3,0,3,1,9,5,0,66,1,13,0,5,1,1,1,0,1,5,2,3,3,4,124,4,1,1,6,32,3,فلاح:  نداء تونس:  تيار صوت الشعب الحر:  الحزب الجمهوري:  الجبهة الشعبية:  آفاق تونس:  حركة النهضة:  
21,2,1,19,5,572,366,700,13,321,334,366,700,0,0,357,2,7,366,0,False,"18,10","20,40",17,1,3,1,0,0,3,2,5,15,0,22,1,4,3,3,0,1,1,13,5,2,1,0,145,0,1,2,5,101,0,آفاق تونس:  الحزب الجمهوري:  حركة النهضة:  فلاح:  تيار المحبة :  المؤتمر من أجل الجمهورية:  الجبهة الشعبية:  التحالف الديمقراطي:  
21,2,1,19,4,574,377,700,0,323,0,377,377,323,0,372,1,4,377,0,True,18.00,21.00,11,0,5,0,0,0,6,2,1,13,0,18,0,7,1,3,1,2,1,8,4,6,1,2,159,3,0,0,10,107,1,حركة النهضة:1  آفاق تونس:1  نداء تونس:1  الحزب الجمهوري:1  المؤتمر من أجل الجمهورية:1  فلاح:1  
21,2,1,19,3,574,437,800,0,363,363,437,800,0,0,430,2,5,437,0,True,18.30,20.25,15,0,5,0,1,0,9,2,2,28,1,15,2,9,5,1,1,0,0,17,1,2,1,4,183,2,1,0,8,115,0,حركة النهضة:  تيار المحبة :  نداء تونس:  فلاح:  الحزب الجمهوري:  :  
21,2,1,19,2,574,485,692,23,184,207,485,692,0,0,474,5,6,485,0,False,18.30,20.53,8,1,3,3,0,0,3,4,2,25,2,25,1,4,5,3,0,4,0,7,8,8,2,2,193,0,2,1,12,144,2,حركة النهضة:  فلاح:  نداء تونس:  الحزب الجمهوري:  
21,2,1,19,1,574,450,698,0,248,248,450,698,0,0,433,8,9,450,0,True,18.45,21.35,12,0,4,1,4,2,3,8,1,26,4,16,2,7,2,6,1,2,1,6,6,2,2,2,134,2,4,0,8,165,0,حركة النهضة:2  المؤتمر من أجل الجمهورية:1  
