circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, اتحاد الشباب الديمقراطي التونسي,ائتلاف جبهة قابس,اتحاد القوى الشبابية,اتحاد شباب تونس,اصحاب الحق,آفاق تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارض الطيبة,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحزب الجمهوري,الشعب يريد,الضمير,العدل,العمل والتنمية العادلة,القطب البيئي بقابس,المؤتمر من اجل الجمهورية,المبادرة الوطنية الدستورية,المجد للوطن,المستقلون الاحرار,النتمية اولا,النخلة,تونس العزيزة,تيار المحبة,تيار النزاهة,حركة البناء المغاربي,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة اللقاء الدستوري,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الامان,حزب البناء الوطني,حزب الغد,حزب الوحدة,صوت شعب تونس,قابس اولا,قابس في القلب,كلنا قابس,observers
25,1,4,8,3,579,357,700,1,342,343,357,700,0,0,352,4,1,357,0,True,18h05,21h30,3,0,0,0,1,6,33,0,0,0,0,4,2,1,3,1,0,0,1,0,8,0,0,2,2,2,0,0,2,0,0,0,0,9,1,220,46,2,0,0,0,1,0,2,0,0,حركة نداء تونس:1  حركة النهضة:1  ائتلاف جبهة قابس:1  افاق تونس:1  الاتحاد الوطني الحر:1  
25,1,4,8,2,578,421,700,1,278,279,421,700,0,0,407,9,5,421,0,True,18.55,23.30,1,0,0,1,3,1,23,0,0,1,3,6,4,0,3,0,0,2,0,0,13,1,1,1,1,2,0,1,0,0,1,1,0,14,0,270,46,0,0,1,0,1,2,0,3,0,صوت شعب تونس:1  حركة نداء تونس:1  المؤتمر من اجل الجمهورية:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
25,1,4,8,1,578,430,700,2,268,270,430,700,0,0,405,16,9,430,0,False,18.00,20.30,1,1,1,1,1,2,24,1,1,0,0,2,3,1,2,1,3,1,2,0,6,2,1,8,3,3,1,4,2,1,1,0,0,14,4,247,44,1,1,0,1,0,3,0,10,0,حركة النهضة:1  حركة نداء تونس:1  حزب الوحدة:1  حركة الشعب:1  الاتحاد الوطني الحر:1  
25,1,4,7,6,595,338,700,0,362,362,338,700,0,0,333,3,2,338,0,False,18.40,20.25,0,1,0,0,15,2,22,0,0,0,1,1,1,0,2,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,1,0,1,4,0,226,37,1,0,0,0,1,2,0,0,1,حركة نداء تونس:1  افاق تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  
25,1,4,7,5,599,371,700,0,329,329,371,700,0,0,356,8,7,371,0,True,18.30,21.38,1,2,0,0,17,0,22,0,0,0,3,2,1,2,2,0,0,1,0,1,11,2,1,1,0,1,0,3,0,0,0,0,0,6,0,246,28,2,0,0,0,0,1,0,0,0,حركة النهضة:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  
25,1,4,7,4,599,396,700,1,303,304,396,700,0,0,373,8,15,396,0,False,18:30,21:00,0,0,1,0,16,0,15,2,0,0,1,1,3,2,1,1,0,1,1,0,9,1,3,2,0,2,0,1,0,0,0,0,4,11,2,259,23,0,3,0,0,3,2,1,2,0,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  
25,1,4,7,3,599,466,705,1,238,239,466,705,0,0,439,11,16,466,0,False,18:50,21:10,0,2,0,1,15,3,19,1,0,0,3,4,4,1,2,0,1,1,0,0,4,4,2,1,1,2,1,2,0,0,0,0,1,12,0,301,44,1,0,0,1,1,1,0,2,1,حركة النهضة:1  حركة الشعب:1  حركة نداء تونس:1  
25,1,4,7,2,599,436,700,3,264,267,433,700,0,0,352,24,57,433,0,True,18.45,21.56,1,2,0,2,6,2,15,0,2,2,8,1,5,3,1,1,2,0,0,1,4,8,4,4,0,0,0,3,4,1,1,0,2,9,1,206,30,0,0,3,3,2,1,0,10,2,حركة النهضة:1  الاتحاد الوطني الحر:1  حركة الشعب:1  
25,1,4,7,1,594,445,700,4,255,259,441,700,0,4,366,27,48,441,0,False,18:45,22:00,0,1,1,1,12,4,6,0,1,2,2,0,1,4,0,1,1,1,0,0,10,6,13,9,2,1,1,3,1,0,4,2,2,10,0,192,45,0,1,0,2,0,3,0,18,3,حركة النهضة:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  حركة الشعب:1  المؤتمر من اجل الجمهورية:1  
25,1,3,6,2,343,205,400,0,195,195,205,400,0,0,198,3,4,205,0,True,1815,2110,1,0,0,0,9,2,8,0,0,0,0,1,1,2,1,0,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,2,9,0,137,13,0,0,0,0,0,1,0,1,1,حركة النهضة:1  الحزب الجمهوري:1  الاتحاد الوطني الحر:1  حركة الشعب:1  :  
25,1,3,5,5,551,290,600,0,310,310,290,600,0,0,286,2,2,290,0,False,18h25,,0,0,0,0,1,2,27,0,0,2,2,1,5,0,2,0,0,0,0,0,8,0,1,0,0,0,0,2,0,0,0,1,2,5,0,186,33,0,0,0,0,2,1,0,3,0,حركة نداء تونس:1  حركة النهضة:1  
25,1,3,5,4,554,322,600,2,276,278,322,600,0,0,319,2,1,322,0,True,18h35,20h30,3,0,0,0,6,3,20,0,0,0,1,4,2,2,3,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,3,0,217,36,2,1,0,0,3,3,0,1,1,الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  افاق تونس:1  حزب الوحدة:1  
25,1,3,5,3,554,391,600,0,209,209,391,600,0,0,384,5,2,391,0,True,19,22:56,1,0,0,1,3,0,20,0,0,0,1,6,3,0,1,1,0,1,0,0,13,1,0,0,0,1,0,3,0,0,3,0,0,14,0,258,43,4,2,0,1,0,2,0,1,0,حركة النهضة:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  افاق تونس:1  
