circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الانفتاح والوفاء,التحالف الديمقراطي,التقارب,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحراك الاجتماعي,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاسلامي التونسي,الحزب الاشتراكي,الحزب الجمهوري,الشعب يريد,اللقاء الدستوري,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة الوحدة الشعبية,حركة وفاء,حزب الأمان,حزب العدالة والتنمية,حزب المبادرة,حزب المصالحة بالمنستير,حركة النهضة,دولة حق,زرقاء اليمامة,شمس المحبة,شهداء تونس,صوت شعب تونس,قائمة تصحيح المسار,قائمة حزب المؤتمر من أجل الجمهورية,حركة نداء تونس,observers
22,11,5,134,3,500,384,600,6,210,216,384,600,0,0,378,6,0,384,0,True,"18,50",21,43,0,9,1,0,0,0,0,1,2,0,1,0,1,0,2,0,1,1,0,0,1,2,0,1,4,0,99,0,0,1,1,0,3,6,198,الاتحاد الوطني الحر:  حزب حركة النهضة:  آفاق تونس:  نداء تونس:  
22,11,5,134,2,500,424,600,7,169,176,424,600,0,0,421,2,1,424,0,True,"18,31","20,24",27,0,7,0,0,2,0,0,3,4,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,8,1,167,0,0,0,0,1,1,3,191,الاتحاد الوطني الحر:  حزب حركة النهضة:  نداء تونس:2  آفاق تونس:  
22,11,5,134,1,500,410,600,3,188,191,409,600,0,1,391,12,6,409,0,True,1843,2104,25,0,3,1,0,1,0,2,7,5,0,0,2,0,1,4,0,0,3,0,0,0,5,1,4,8,2,87,1,1,0,3,1,4,0,220,نداء تونس:2  حزب حركة النهضة:1  
22,11,4,133,1,583,414,700,3,283,286,414,700,0,0,407,5,2,414,0,True,1903,2148,36,1,14,1,0,0,0,2,3,2,0,0,1,4,0,3,0,0,7,0,2,1,1,0,0,3,0,103,0,1,1,2,2,3,2,212,نداء تونس:  حزب حركة النهضة:  
22,11,4,132,5,521,362,600,8,230,238,362,600,0,0,357,5,0,362,0,True,18:37,20:34,40,0,12,1,0,2,0,0,8,0,0,0,2,2,0,7,0,0,3,0,1,0,2,0,0,6,1,71,0,1,0,0,0,0,4,194,حزب حركة النهضة:1  نداء تونس:1  
22,11,4,132,4,522,358,600,3,239,242,358,600,0,0,351,3,4,358,0,True,19,"21,10",26,0,9,2,0,0,0,1,10,2,0,0,1,0,0,3,0,0,1,0,0,0,2,1,0,6,1,82,1,0,0,0,0,2,3,198,حزب حركة النهضة:2  نداء تونس:2  
22,11,4,132,3,522,385,600,0,215,215,385,600,0,0,381,2,2,385,0,True,"19,15","21,30",27,0,10,1,0,1,0,1,3,5,1,0,1,3,0,2,0,0,3,1,0,1,1,2,1,5,0,125,0,0,0,0,0,5,0,182,آفاق تونس:  نداء تونس:  حزب حركة النهضة:  
22,11,4,132,2,522,417,596,3,176,179,417,596,0,0,412,2,3,417,0,True,1850,2100,25,2,3,1,0,0,0,1,5,0,1,1,1,2,1,3,0,0,1,0,1,0,5,0,2,8,0,123,0,0,0,0,0,2,4,216,نداء تونس:  حزب حركة النهضة:  
22,11,4,132,1,522,410,596,1,185,186,410,596,0,0,396,11,3,410,0,True,"18,20","20,40",24,1,7,1,2,2,0,1,8,2,0,2,1,1,3,4,0,0,3,2,3,2,3,1,3,7,0,90,1,1,1,2,4,7,7,200,نداء تونس:  تيار المحبة:  حزب حركة النهضة:  
22,11,4,131,3,434,294,500,1,205,206,294,500,0,0,289,5,0,294,0,True,19,,21,0,11,0,0,0,0,0,2,2,0,1,0,0,0,2,1,0,4,0,2,1,2,0,0,5,0,83,1,0,0,0,0,2,3,146,نداء تونس:  حزب حركة النهضة:  
22,11,4,131,2,436,345,496,3,148,151,345,496,0,0,333,5,7,345,0,True,"18,40","20,25",22,2,8,0,1,0,1,0,10,4,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,3,1,129,0,0,0,0,0,3,0,142,نداء تونس:  حزب حركة النهضة:  
22,11,4,131,1,436,362,500,1,137,138,362,500,0,0,338,19,5,362,0,True,19,"20,15",5,1,9,0,0,0,0,1,2,3,0,1,1,1,2,2,1,2,1,1,1,1,3,0,1,3,0,101,0,0,2,2,1,5,3,182,الاتحاد الوطني الحر:  نداء تونس:  حزب حركة النهضة:  
22,11,4,130,3,524,348,600,1,251,252,348,600,0,0,333,9,6,348,0,True,1905,2140,34,0,9,1,0,3,0,1,7,7,0,0,0,1,1,5,2,1,4,1,0,0,1,0,0,7,0,66,0,0,0,1,0,1,2,178,نداء تونس:1  حزب حركة النهضة:1  
22,11,4,130,2,525,399,600,10,191,201,399,600,0,0,388,6,5,399,0,True,18.55,21.30,18,0,9,1,0,0,0,1,3,2,0,0,0,1,0,2,1,0,3,0,0,0,2,0,0,4,0,118,1,0,0,1,0,0,1,220,حزب حركة النهضة:2  نداء تونس:2  
22,11,4,130,1,525,410,600,3,187,190,410,600,0,0,381,13,16,410,0,True,1800,2130,22,3,4,1,0,0,1,1,1,3,1,1,0,0,0,4,0,1,4,0,2,0,4,1,4,3,1,75,0,0,0,3,0,4,2,235,نداء تونس:  حزب حركة النهضة:  آفاق تونس:  الاتحاد الوطني الحر:  
22,11,3,129,6,572,365,704,1,338,339,365,704,0,0,358,4,3,365,0,True,1810,2030,37,0,15,1,0,0,0,2,9,6,0,0,1,2,0,5,2,0,0,0,1,0,3,0,0,6,0,88,0,0,0,1,0,2,2,175,الاتحاد الوطني الحر:  نداء تونس:  حزب حركة النهضة:  
