circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإنصاف , التحالف الديمقراطي,الجبهة الشعبية, الجبهة الوطنية التونسية, الحركة الدستورية, الحرية , الحزب الجمهوري , الشعب يريد , العدالة والتنمية, تونس العزيزة , تيار المحبة , حركة التونسي, حركة الديمقراطيين الإشتراكيين ,حركة النهضة, حركة الوحدويين الأحرار ,حركة نداء تونس, حركة وفاء, حزب الأمان , حزب التكتل , حزب المبادرة, حزب المجد , عدالة وسلام,أوفياء,الاتحاد الوطني الحر,التيار الديمقراطي ,الثبات,المؤتمر من أجل الجمهورية,حركة الشعب,حزب البناء الوطني,حزب العمل التونسي ,صوت شعب تونس,observers
27,3,4,26,2,346,214,400,0,186,186,214,400,0,0,212,2,0,214,0,True,1810,1940,0,0,2,0,0,0,8,0,1,2,1,0,0,149,0,21,0,0,3,0,2,0,0,8,0,0,9,5,0,1,0, حركة نداء تونس :2  حركة الشعب:1   حركة النهضة :1  
27,3,4,26,1,345,252,400,1,147,148,252,400,0,0,235,12,5,252,0,False,1815,2020,0,0,1,0,2,2,16,2,1,4,1,1,1,157,1,26,0,0,1,0,1,7,1,3,0,1,3,2,0,0,1,الإتحاد الوطني الحر:1   حركة النهضة :2   حركة نداء تونس :2  
27,3,3,25,2,500,245,600,0,355,355,245,600,0,0,240,2,3,245,0,False,1830,2110,0,1,0,1,0,1,5,0,1,1,2,0,0,191,0,9,0,0,0,1,0,1,6,10,1,0,8,1,0,0,0,الإتحاد الوطني الحر:1   حركة النهضة :2   حركة نداء تونس :1   حزب التكتل :1  
27,3,3,25,1,500,362,600,0,238,238,362,600,0,0,344,8,10,362,0,False,18h30,21h45,4,0,3,0,1,3,5,0,1,3,1,1,0,246,0,28,0,2,1,0,0,4,10,13,4,0,9,1,3,0,1, حركة نداء تونس :1   حركة النهضة :1   الحزب الجمهوري :1  حركة الشعب:1  
27,3,2,24,1,121,76,200,0,124,124,76,200,0,0,69,3,4,76,0,True,1820,1908,0,0,0,0,0,1,2,0,0,0,1,0,0,61,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0, حركة النهضة :1   الحركة الدستورية:1  
27,3,2,23,3,441,198,500,0,302,302,198,500,0,0,187,10,1,198,0,False,18h,19h22,0,1,1,1,5,1,6,1,0,2,0,0,0,104,0,19,5,2,3,1,0,2,1,15,3,0,12,1,0,1,0, حركة نداء تونس :2   حركة النهضة :2  الإتحاد الوطني الحر:1  المؤتمر من أجل الجمهورية:1   الإنصاف :1  
27,3,2,23,2,442,288,500,0,212,212,288,500,0,0,284,1,3,288,0,True,18.17,19.53,1,1,2,1,2,1,14,1,0,5,2,2,1,186,0,31,0,2,2,2,0,3,0,5,3,2,12,3,0,0,0, حركة النهضة :1   حركة نداء تونس :1  المؤتمر من أجل الجمهورية:1  الإتحاد الوطني الحر:1   الحركة الدستورية:1  
27,3,2,23,1,442,326,500,1,173,174,326,500,0,0,307,9,10,326,0,True,19.15,21.3,1,0,2,1,7,2,12,1,0,3,2,3,3,181,1,42,1,3,2,3,0,5,3,10,1,8,5,4,0,1,0, حركة النهضة :1   حركة نداء تونس :1  المؤتمر من أجل الجمهورية:1  التيار الديمقراطي :1   الحركة الدستورية:1  
27,3,1,22,4,546,241,600,0,359,359,241,600,0,0,238,2,1,241,0,True,18.30,20.41,0,0,4,1,4,0,9,0,0,5,0,1,1,136,0,14,2,2,2,1,0,3,0,18,9,1,15,9,0,1,0,المؤتمر من أجل الجمهورية:1   الحزب الجمهوري :1   الحركة الدستورية:2  حركة الشعب:1   حركة نداء تونس :1   حركة النهضة :1  
27,3,1,22,3,548,360,600,0,240,240,360,600,0,0,354,5,1,360,0,True,18.55,20.10,0,2,2,0,6,1,13,1,1,2,1,0,2,219,0,25,5,8,1,0,0,9,1,12,4,2,28,5,0,2,2,المؤتمر من أجل الجمهورية:1  التيار الديمقراطي :1   حركة نداء تونس :1   حركة النهضة :1   الحركة الدستورية:1  الإتحاد الوطني الحر:1   التحالف الديمقراطي:1  
