circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أحرار القصرين,أمل القصرين,أول الغيث,أولاد الشعب,اتحاد الشباب الديمقراطي,اتحاد القوى الشابية,الأصالة والتقدم,الأمل,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البديل,البناء الوطني,التحالف الديمقراطي,التكتل الشعبي من أجل تونس,التكتل من أجل العمل والحريات,التنمية الشاملة,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحرية والانصاف,الحزب الاشتراكي,الحزب الجمهوري,الذهبية المستقلة,الربيع العربي لتحقيق السيادة,الشباب المدني الحر,الشباب للرقي والبناء,الشعب يريد,العريضة الشعبية,العهد,القرار,القصرين أولا,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,المستقبل,المستقلة 17 ديسمبر,المستقلة الأحرار,المستقلة الشعانبي,المستقلة لدفع التنمية و التشغيل,المنار الشعبية الاجتماعية,النزر للديمقراطية والتنمية,الوصية,الياسمين,بني وطني,تونس العزيزة,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الغد,رد الاعتبار,شباب الوسط للعمل والتنمية,شبابنا فخر وعزة,صقور الحرية,صوت القصرين,صوت المستقل,"غدا,,, أفضل",نداء قرطاج,نعم نسطتيع,observers
15,5,2,68,1,433,317,500,0,183,183,317,500,0,0,288,20,9,317,0,False,18h05,,3,1,1,5,0,1,0,1,0,0,12,2,2,1,0,1,25,2,2,17,1,1,1,0,0,3,1,1,0,0,1,0,1,0,1,1,5,0,1,1,1,0,3,4,1,0,1,2,1,2,2,4,0,2,2,23,124,2,5,0,0,0,1,1,0,0,12,0,0,المؤتمر من أجل الجمهورية:1  حركة النهضة:1  التكتل من أجل العمل والحريات:1  صوت القصرين:1  حركة نداء تونس:1  
15,5,2,67,2,514,279,601,0,22,22,279,601,0,0,270,4,5,279,0,False,19h,21h49,2,5,0,0,1,0,0,0,0,1,7,0,0,0,0,1,53,0,5,16,0,1,0,0,0,1,0,1,0,0,0,2,0,2,5,0,6,0,0,1,0,0,2,0,1,1,0,0,0,1,1,0,0,0,2,36,101,6,0,1,0,0,0,0,0,0,7,1,0,حركة النهضة:1  الاتحاد الوطني الحر:1  التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  
15,5,2,67,1,514,390,600,1,209,210,390,600,0,0,365,15,10,390,0,False,1858,,0,10,2,1,0,0,0,1,0,3,7,1,0,2,0,3,40,0,4,20,0,0,1,0,1,8,0,1,1,2,0,3,0,1,5,1,10,2,1,1,0,0,0,2,0,2,1,3,0,0,1,6,0,0,2,38,153,9,1,0,1,2,1,1,3,2,4,1,0,حركة النهضة:1  آفاق تونس:1  حركة نداء تونس:1  الاتحاد الوطني الحر:1  المستقبل:1  المستقلة الأحرار:1  
15,5,2,66,5,509,239,600,1,360,361,239,600,0,0,231,5,3,239,0,False,1800,2000,1,0,0,1,0,0,0,0,0,0,8,0,0,2,1,0,48,0,3,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,15,1,0,1,0,0,3,1,0,0,1,1,0,2,1,2,0,0,2,31,0,4,1,0,0,0,0,0,1,0,6,0,0,آفاق تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  حركة وفاء:1  التكتل من أجل العمل والحريات:1  حركة نداء تونس:1  
15,5,2,66,4,510,332,600,0,268,268,332,600,0,0,320,8,4,332,0,True,1800,2050,0,3,1,1,0,0,0,0,0,1,6,0,0,0,0,0,67,0,1,14,0,0,0,1,0,1,1,0,0,0,2,0,1,1,3,1,23,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5,1,2,2,53,82,16,0,0,0,0,1,1,8,0,9,0,0,حركة النهضة:1  التكتل الشعبي من أجل تونس:1  الشباب المدني الحر:2  حركة نداء تونس:1  آفاق تونس:1  
15,5,2,66,3,510,380,595,0,215,215,380,595,0,0,366,7,7,380,0,False,1850,2100,0,4,0,1,0,0,0,0,0,1,5,0,0,0,6,0,73,0,3,28,1,0,1,0,0,2,0,0,0,2,2,2,0,0,3,2,11,2,0,2,0,0,0,1,0,2,0,0,0,2,3,1,0,1,3,77,108,7,0,0,0,0,1,1,1,1,6,1,0,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  التكتل الشعبي من أجل تونس:1  
15,5,2,66,2,510,365,600,0,235,235,365,600,0,0,322,28,15,365,0,False,18h,20h55,0,6,0,3,0,0,0,0,0,1,2,3,0,1,2,2,58,0,0,10,1,1,1,0,0,1,2,1,0,2,1,2,1,0,1,2,8,2,0,2,1,1,2,5,0,1,0,0,0,1,0,6,0,1,7,43,116,4,2,2,1,1,0,0,3,1,2,3,3,حركة النهضة:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  
15,5,2,66,1,510,352,600,1,248,249,351,600,0,1,316,27,8,351,0,False,19,,0,0,1,4,1,1,0,0,0,4,6,0,1,2,1,3,53,1,2,11,0,1,1,2,1,3,0,0,1,0,0,1,0,0,2,1,7,1,1,0,1,1,3,2,0,2,0,2,0,1,3,5,2,1,2,33,122,7,3,1,0,1,1,2,1,1,3,1,2,حركة النهضة:  التكتل من أجل العمل والحريات:  حركة نداء تونس:  الاتحاد الوطني الحر:  المؤتمر من أجل الجمهورية:  
15,5,1,65,2,382,215,500,0,285,285,215,500,0,0,200,10,5,215,0,True,"18,20","21,35",0,0,2,1,0,0,0,0,0,0,29,0,1,0,0,0,34,0,0,7,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,52,48,1,0,0,0,0,0,0,2,1,4,0,0,حركة وفاء:  الاتحاد الوطني الحر:  حركة الديمقراطيين الاجتماعيين:  حركة النهضة:  حركة نداء تونس:  التكتل من أجل العمل والحريات:  
15,5,1,65,1,382,288,500,0,212,212,288,500,0,0,263,23,2,288,0,True,18h15,,0,2,2,3,0,1,0,0,0,1,20,2,0,2,0,4,37,1,2,16,1,0,0,0,1,4,0,0,0,0,0,1,0,0,2,1,8,2,1,1,0,0,3,0,0,0,0,0,1,1,2,0,1,0,2,53,79,3,0,0,0,0,0,0,2,0,0,0,1,حركة النهضة:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  التكتل من أجل العمل والحريات:1  
