circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,الاتحاد الوطني الحر,الاحرار,الارض,الازدهار,الامل في الحياة,البديل للتشغيل والعدالة والاجتماعية,التحالف الديمقراطي,التحدي,التشغيل والتنمية,التشغيل والكرامة,التكتل من اجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الربيع العربي,السلام,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,النور للديمقراطية والتنمية,الوعد الصادق,الوفاء لمشروع الشهيد,تيار المحبة,حركة الجمهورية,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الامان,شباب بلادي,صوت الفلاحين,صوت المستقبل,صوت شعب تونس,ما يرده الشعب,من اجل تحقيق سلطة الشعب,observers
8,7,1,96,5,516,370,600,0,230,230,370,600,0,0,350,9,11,370,0,True,18.00,20.50,0,4,15,0,0,0,1,2,1,0,1,2,7,6,30,4,0,76,0,0,1,6,0,0,12,0,0,3,2,56,108,4,0,1,0,0,6,1,0,الحزب الجمهوري:1  آفاق تونس:1  الوعد الصادق:1  الحركة الدستورية:1  التكتل من اجل العمل والحريات:1  اللقاء الدستوري:1  حركة النهضة:1  حركة الشعب:1  حركة نداء تونس:1  
8,7,1,96,4,516,399,602,0,203,0,602,602,0,203,388,5,6,399,0,False,399,,0,6,20,0,0,0,2,1,1,2,1,0,7,3,35,0,0,69,1,2,0,6,1,0,13,0,1,4,3,76,118,1,2,5,0,0,8,0,0,
8,7,1,96,3,516,449,604,3,152,155,449,604,0,0,438,7,4,449,0,False,1805,2200,0,1,27,0,2,1,2,3,0,3,0,3,2,3,37,1,1,5,0,1,1,3,4,1,10,0,3,0,4,96,149,2,0,3,0,1,8,0,0,
8,7,1,96,2,516,423,600,2,176,178,422,600,0,1,363,49,10,422,0,False,1830,2100,1,5,15,1,3,0,1,1,2,3,2,5,8,7,32,6,6,41,1,1,1,5,7,0,5,3,3,2,7,58,106,6,0,4,1,0,11,2,1,حركة نداء تونس:1  الجبهة الشعبية:1  التكتل من اجل العمل والحريات:1  حركة النهضة:1  صوت شعب تونس:1  تيار المحبة:1  الحزب الجمهوري:1  الحركة الدستورية:1  
8,8,7,141,1,170,92,200,0,108,108,92,200,0,0,86,6,0,92,0,True,1815,1912,0,0,9,0,0,0,0,1,0,1,0,0,0,1,4,0,0,16,2,4,0,0,0,0,0,1,0,0,0,7,31,1,2,2,2,1,1,0,0,حركة النهضة:1  
8,8,7,140,1,174,118,200,0,82,82,118,200,0,0,112,2,4,118,0,True,1830,2000,0,0,6,2,1,0,1,0,1,1,1,5,10,1,4,0,1,10,0,0,0,1,1,1,0,0,2,0,1,15,34,3,3,1,0,0,0,5,1,حركة النهضة:1  التكتل من اجل العمل والحريات:2  الحزب الجمهوري:1  الاتحاد الوطني الحر:1  
8,8,6,139,1,153,86,200,0,114,114,86,200,0,0,81,5,0,86,0,True,1800,1900,0,0,11,0,1,1,1,0,1,0,1,0,0,1,6,1,0,4,0,0,0,0,12,1,4,1,2,0,1,7,20,1,0,0,1,0,2,1,0,حركة نداء تونس:2  حركة النهضة:1  تيار المحبة:1  الاتحاد الوطني الحر:1  
8,8,6,137,1,309,159,400,0,241,241,159,400,0,0,146,8,5,159,0,True,1810,1930,0,0,21,1,2,0,0,4,1,0,0,5,2,0,13,1,1,6,0,3,4,1,4,1,1,0,3,0,3,12,50,1,0,1,0,0,3,1,1,الاتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:1  
8,8,5,136,1,375,235,400,1,164,165,235,400,0,0,214,12,9,235,0,False,1800,2000,3,1,7,1,1,1,0,4,2,0,0,3,1,0,15,1,0,59,2,1,2,4,2,1,13,0,2,1,6,19,45,5,2,5,0,0,3,2,0,حركة نداء تونس:2  حركة النهضة:1  الحزب الجمهوري:2  
8,8,5,135,1,162,78,200,0,122,122,78,200,0,0,77,1,0,78,0,True,18.00,19.05,0,1,2,0,2,0,0,6,0,0,0,0,5,1,12,1,0,8,0,1,1,1,0,0,1,0,0,0,1,7,24,1,0,0,0,1,0,0,1,الحزب الجمهوري:1  حركة نداء تونس:2  حركة النهضة:1  
8,8,4,134,1,201,131,300,0,169,169,131,300,0,0,124,6,1,131,0,False,18.50,19.40,0,1,10,1,1,0,0,0,0,0,0,2,4,1,14,1,1,14,1,5,0,2,0,1,2,0,0,0,7,17,37,0,1,1,0,0,0,0,0,الجبهة الشعبية:1  الحزب الجمهوري:1  حركة نداء تونس:2  حركة النهضة:1  حركة الجمهورية:1  
8,8,4,133,1,114,72,200,5,123,128,72,200,0,0,66,4,2,72,0,True,18:00,19:00,0,0,5,0,0,2,0,0,0,1,0,1,0,0,7,0,2,7,0,0,1,1,2,3,3,0,1,0,1,9,17,1,0,0,0,2,0,0,0,حركة نداء تونس:  حركة النهضة:  
8,8,4,132,1,392,219,500,0,281,281,219,500,0,0,180,35,4,219,0,True,18:00,21:58,0,1,10,0,2,1,1,0,1,1,2,5,1,1,6,1,1,41,2,1,2,0,3,4,4,0,1,1,0,27,50,2,0,3,0,1,0,3,1,حركة نداء تونس:2  الحزب الجمهوري:  حركة النهضة:  
8,8,3,131,1,207,113,300,1,186,187,113,300,0,0,109,2,3,114,1,False,1815,1906,0,0,2,0,0,0,0,0,0,0,0,3,0,1,9,3,0,38,1,0,0,0,0,0,1,1,0,0,1,12,26,5,0,5,1,0,1,0,0,الحزب الجمهوري:1  حركة النهضة:1  
