circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد القوى الشبابية,اتحاد شباب ديمقراطي تونسي,الاتحاد الوطني الحر,الاتحاد من اجل تونس,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التوازن,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحركة الديمقراطية للاصلاح واالبناء,الحزب الجمهوري ,الحزب الجمهوري المغاربي,الحزب الليبرالي التونسي,الريادة بالعلم والعمل,الشباب الحر,الشعب يريد,القائمة المستقلة بأريانة القدوة,الكادحون,المبادرة,النداء الجمهوري,باب الامل,بيئتنا,تونس العزيزة,تونس في العين,تيار المحبة,حركة التونسي,حركة الديمقراطيين الإشتراكيين,حركة الربيع العربي,حركة الشعب,حركة النهضة,حركة الوحدة الشعبية,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الاصلاح والتنمية,حزب الانفتاح والوفاء,حزب الانقاذ,حزب البناء الوطني,حزب الصحوة,حزب العمل التونسي,حزب الغد,حزب المؤتمر الشعبي,حزب المؤتمر من اجل الجمهورية,حزب المجد,حزب الوسط الاجتماعي,حزب تونس للجميع,صوت الفنانين,صوت المربي,صوت شعب تونس,نحو بر الأمان,نداء قرطاج,ورد اريانة,observers
4,4,4,59,2,533,398,600,1,201,202,398,600,0,0,390,5,3,398,0,False,"18,15","20,55",5,0,2,18,2,0,1,0,2,9,0,2,0,4,0,0,1,1,1,1,6,1,3,0,1,4,1,5,0,1,0,6,137,1,146,3,2,2,0,1,0,2,3,0,1,4,0,0,5,0,0,2,1,2,1,حركة النهضة:  حركة نداء تونس:  
4,4,4,59,1,533,426,600,0,185,185,426,611,11,0,394,20,12,426,0,False,"18,08","21,36",6,0,0,13,4,1,4,0,12,4,0,1,2,5,0,2,0,1,0,1,2,2,0,0,4,1,3,2,1,1,0,7,130,0,149,2,1,1,2,0,2,1,3,0,0,2,4,2,6,1,1,2,4,2,0,حركة نداء تونس:  حركة الشعب:  حركة النهضة:2  حزب الأمان:  
4,4,4,58,3,520,300,600,1,299,300,300,600,0,0,297,0,3,300,0,False,"18,21","20,15",5,1,0,24,1,2,0,5,10,10,0,1,0,10,0,0,0,0,0,0,1,1,0,1,0,1,1,2,1,0,0,0,76,0,133,1,0,0,1,1,1,0,3,0,0,2,0,0,0,0,0,0,1,0,1,حركة نداء تونس:  حركة النهضة:  
4,4,4,58,2,521,372,600,1,228,229,371,600,0,1,354,5,12,371,0,False,,"20,27",4,0,0,14,2,3,2,4,5,8,0,0,0,4,0,0,0,2,0,1,1,1,3,3,2,2,1,1,0,2,1,0,107,1,151,5,0,2,2,0,0,4,2,0,1,0,1,0,2,0,0,2,5,2,1,حركة النهضة:  حركة نداء تونس:  
4,4,4,58,1,521,402,600,3,195,198,402,600,0,0,372,13,17,402,0,False,19,"22,15",5,0,0,15,4,4,0,1,5,13,0,2,1,3,3,0,0,0,2,3,0,5,4,0,1,1,0,1,2,2,0,2,83,2,174,2,0,4,5,1,1,0,2,1,0,1,2,0,7,0,1,0,4,2,1,حركة الشعب:  حركة النهضة:  
4,4,3,57,7,531,376,600,3,221,224,376,600,0,0,371,4,1,376,0,True,"19,14","21,16",6,0,0,14,4,3,1,0,8,9,0,0,0,10,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,0,7,152,0,132,2,0,0,0,0,0,0,1,0,1,6,0,0,4,0,1,1,2,0,0,حركة النهضة:  
4,4,3,57,6,535,371,600,0,229,229,371,600,0,0,359,4,8,371,0,False,"19,20","22,53",6,0,0,36,0,2,7,0,7,22,2,2,0,6,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,4,127,0,118,4,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,2,1,0,حركة نداء تونس:  حركة النهضة:  
4,4,3,57,5,535,354,600,5,241,246,354,600,0,0,346,0,8,354,0,False,1815,2110,7,0,0,35,2,4,0,0,8,13,1,0,0,3,0,0,0,1,1,1,1,0,3,1,0,0,0,2,0,0,0,9,113,0,119,1,1,0,0,0,0,1,1,0,0,6,2,0,4,0,3,0,3,0,0,حركة نداء تونس:1  حركة النهضة:1  
4,4,3,57,4,535,386,600,0,214,214,386,600,0,0,381,1,4,386,0,False,1855,2045,4,0,0,15,2,2,2,0,15,5,0,0,2,7,2,0,1,0,0,0,1,2,2,0,0,2,1,8,1,1,1,3,173,0,114,1,1,0,0,0,0,0,1,0,1,4,0,0,2,0,1,0,2,0,2,حركة نداء تونس:1  الجبهة الشعبية:1  حركة النهضة:1  التيار الديمقراطي:1  
4,4,3,57,3,535,397,602,0,205,205,397,602,0,0,378,10,9,397,0,False,1830,2130,4,0,0,18,3,5,0,0,6,17,1,0,1,4,1,0,1,2,0,0,2,3,1,0,0,1,0,2,0,1,0,13,148,3,116,2,1,1,0,0,0,0,2,0,1,3,4,0,5,1,0,0,3,2,0,حركة نداء تونس:1  حركة النهضة:1  الحزب الجمهوري :1  حركة الشعب:1  
