circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أمل تونس,اتحاد الشباب الديمقراطي التونسي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,التحالف الديمقراطي,التحدي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الدخلة للعمل والعدالة والتنمية,الريادة,الشعب يريد,اللقاء الدستوري,المؤتمر من أجل الجمهورية,المبادرة,تميز,تونس العزيزة,تيار المحبة,جبهة 17 ديسمبر للتنمية,حركة البديل,حركة الديمقراطيين الاشتراكيين,حركة الشباب الوطني التونسي ,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب المجد,حزب حركة الجمهورية,صوت شعب تونس,قائمة سامي بالحاج,observers
11,3,4,49,2,501,445,600,3,152,155,445,600,0,0,425,6,14,445,0,False,1900,,9,1,0,14,0,2,4,4,2,9,1,1,1,55,0,0,0,1,1,1,0,0,1,0,1,2,2,0,0,95,213,2,0,0,1,2,حركة نداء تونس:1  اتحاد الوطني الحر:1  حركة النهضة:1  التكتل من أجل العمل والحريات:1  المبادرة:1  
11,3,4,49,1,501,421,600,12,168,180,420,600,0,1,389,26,5,420,0,False,1812,2140,10,1,0,10,0,2,1,8,4,3,0,2,2,54,0,1,0,1,1,0,2,2,5,3,3,4,1,0,3,68,186,3,0,4,2,3,حركة نداء تونس:1  اتحاد الوطني الحر:1  الحزب الجمهوري:1  حركة النهضة:1  
11,3,3,48,3,530,450,600,28,122,150,450,600,0,0,444,5,1,450,0,False,1900,2130,33,0,0,40,0,5,0,3,12,4,1,0,0,3,0,0,0,1,0,12,1,0,0,4,0,0,0,0,2,101,216,2,1,0,2,1,حركة نداء تونس:1  حركة النهضة:1  
11,3,3,48,2,532,494,600,43,63,106,494,600,0,0,485,4,5,494,0,False,,23.5,10,0,0,17,1,4,0,2,10,1,0,2,0,2,0,0,0,0,0,7,3,0,1,2,0,2,2,0,2,187,227,0,1,0,2,0,حركة نداء تونس:1  اتحاد الوطني الحر:1  حركة النهضة:1  الجبهة الشعبية:1  المبادرة:1  
11,3,3,48,1,532,479,600,3,119,122,478,600,0,1,445,8,25,478,0,False,19.00,22.26,8,0,2,14,3,4,0,4,4,1,0,1,4,4,0,0,0,0,1,6,3,1,1,3,1,6,5,0,3,102,247,1,5,2,4,5,حركة نداء تونس:1  حركة النهضة:1  
11,3,3,47,5,521,446,600,1,153,154,446,600,0,0,443,1,2,446,0,False,19.15,21.30,23,1,1,20,1,5,0,1,17,4,2,0,1,9,1,0,0,0,0,1,1,0,0,0,1,0,0,1,3,85,261,3,0,0,0,1,حركة نداء تونس:2  حركة النهضة:2  اتحاد الوطني الحر:1  المبادرة:1  الجبهة الشعبية:1  
11,3,3,47,4,523,455,600,2,144,146,454,600,0,1,447,4,3,454,0,False,19.21,21.07,22,1,0,4,1,5,0,3,18,4,0,0,0,8,0,0,1,0,0,6,2,0,1,1,0,0,0,2,0,120,243,4,0,0,0,1,اتحاد الوطني الحر:1  حركة نداء تونس:1  حركة النهضة:2  
11,3,3,47,3,523,474,600,0,126,126,474,600,0,0,468,1,5,474,0,False,1925,2001,9,0,0,10,1,5,0,0,10,4,0,1,0,6,0,0,0,0,0,5,1,0,0,0,1,0,1,0,0,163,143,2,1,1,2,2,اتحاد الوطني الحر:1  حركة نداء تونس:2  الجبهة الشعبية:1  حركة النهضة:1  
11,3,3,47,2,523,479,600,2,120,122,478,600,0,1,470,4,4,478,0,False,1925,2125,13,0,0,5,2,3,1,0,14,9,1,0,1,6,1,3,0,1,1,7,1,2,2,5,0,2,1,0,0,123,258,5,1,2,0,0,حركة النهضة:1  حركة نداء تونس:1  
11,3,3,47,1,523,461,600,22,117,139,461,600,0,0,425,30,6,461,0,True,1900,2300,9,2,0,4,1,10,0,1,3,7,0,0,0,9,1,1,1,1,0,4,4,3,5,4,0,2,3,1,0,79,263,3,1,1,0,1,حركة النهضة:1  حركة نداء تونس:1  اتحاد الوطني الحر:1  
