circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,حركة نداء تونس,آفاق تونس,أمانة وفاء,إرادة,إن شاء الله خير,االجبهة الوطنية التونسية,اتحاد الشباب الديمقراطي التونسي,الأمانة,الأمل,الاتحاد الوطني الحر,الاتحاد من أجل تونس,الانجاز والمقاومة ,الانفتاح والوفاء,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الحركة الدستورية,الحركة الديمقراطية الاشتراكية,الحزب الجمهوري,الحزب الجمهوري المغاربي,الحقيقة,الخضر,الخضراء,الربيع العربي لتحقيق السيادة الاقتصادية ,الشباب المستقل,الشروق,الشعب يريد,الصوت الحر,العدالة الجمهورية,العريضة الشعبية,العقد الثوري,القائمة المستقلة أبناء الشعب,القائمة المستقلة العدالة,القائمة المستقلة النخلة,القائمة المستقلة للامركزية والتنمية,اللقاء الدستوري,المبادرة,المستقلة الاقلاع,المنارة,الوئام,الوفاء بالعهد,الياسمين,تونس الخضراء تنمية مستدامة,تيار المحبة,جركة الديمقراطيين الاجتماعيين,حركة الشعب,حركة النهضة,حركة وفاء,حزب الأمان,حزب الانتماء الديمقراطي,حزب البناء الوطني,حزب التكتل ,حزب التكتل الشعبي من أجل تونس,حزب الغد,حزب المؤتمر من أجل الجمهورية,حزب صوت شعب تونس,رد الاعتبار,شباب قفصة,صوت الحق,قائمة الأمل,قفصة دارنا الكل,قفصة عراقة وتجديد,observers
17,7,4,108,3,462,264,500,1,234,235,265,500,0,1,259,3,3,265,0,False,1800,2115,29,2,25,0,1,0,0,0,0,6,2,0,0,2,4,9,0,0,1,0,0,0,6,1,2,0,0,0,0,1,0,0,4,2,0,0,24,5,2,0,0,2,0,2,0,1,98,0,2,0,0,1,0,1,0,0,17,0,5,0,0,2,حركة النهضة:1   نداء تونس:1  الجبهة الشعبية:1  المستقلة الاقلاع:1  الاتحاد الوطني الحر:1  
17,7,4,108,2,462,328,500,0,172,172,328,500,0,0,321,3,4,328,0,False,"18,30","19,57",35,3,43,0,1,1,0,0,0,4,0,0,0,0,3,3,0,1,0,0,0,0,5,0,1,0,0,1,0,1,0,1,1,1,0,4,23,6,2,0,0,1,1,1,0,13,130,2,4,1,0,1,2,0,2,0,19,0,3,1,0,0,المبادرة:  الاتحاد الوطني الحر:  حركة النهضة:   نداء تونس:  حزب المؤتمر من أجل الجمهورية:  حزب التكتل :  
17,7,4,108,1,462,331,500,0,169,169,331,500,0,0,312,15,4,331,0,False,1830,2149,43,5,19,2,2,1,0,0,2,10,4,3,4,0,2,4,1,1,0,1,1,2,4,0,3,0,0,2,1,3,2,4,2,2,1,0,42,9,2,0,0,0,2,5,1,6,83,3,0,1,0,1,1,1,0,3,13,1,4,0,1,2,المبادرة:1  الخضراء:1   نداء تونس:1  حركة الشعب:1  حركة النهضة:1  الجبهة الشعبية:1  :  
17,7,4,107,6,521,271,600,1,328,329,271,600,0,0,264,6,1,271,0,False,1820,2000,58,0,15,1,7,1,0,0,1,25,0,2,0,0,1,36,0,0,1,0,0,0,0,0,0,0,0,1,3,5,1,0,1,0,0,4,7,10,1,0,0,0,0,0,0,4,65,1,1,0,0,2,1,0,2,0,6,1,0,0,0,0,الجبهة الشعبية:1  حركة النهضة:1  المستقلة الاقلاع:1   نداء تونس:1  
17,7,4,107,5,524,306,600,1,293,294,306,600,0,1,303,0,3,306,0,True,18h10,19h55,51,2,14,1,8,0,0,0,0,10,1,2,0,0,3,34,1,0,1,0,0,0,0,0,1,0,0,1,15,1,0,0,3,0,0,1,10,11,1,0,0,0,1,3,0,4,108,2,1,0,1,2,0,0,4,0,4,1,0,0,0,0,حركة النهضة:1   نداء تونس:1  الجبهة الشعبية:1  
17,7,4,107,4,524,349,600,3,248,251,349,600,0,0,344,1,4,349,0,False,1827,2029,72,1,26,2,6,0,0,0,0,10,0,0,0,1,1,30,0,0,1,0,1,0,2,0,1,0,0,0,24,1,0,0,3,0,0,1,7,9,3,0,0,0,1,0,0,6,116,3,0,0,0,3,0,0,5,0,7,0,0,0,1,0,الجبهة الشعبية:1  حركة النهضة:1   نداء تونس:1  الخضراء:1  العدالة الجمهورية:1  
17,7,4,107,3,524,378,600,1,221,222,378,600,0,0,363,9,6,378,0,False,1830,2115,58,0,40,1,4,0,1,0,1,6,3,2,0,1,0,30,0,2,1,0,0,0,0,0,2,0,0,0,20,1,0,1,2,1,0,1,11,5,6,0,0,0,1,6,0,7,130,0,2,0,0,1,0,1,4,0,8,1,0,2,0,0,حركة النهضة:1   نداء تونس:1  الاتحاد الوطني الحر:1  حزب المؤتمر من أجل الجمهورية:1  العريضة الشعبية:1  الجبهة الشعبية:1  العدالة الجمهورية:1  
17,7,4,107,2,524,375,600,1,224,225,375,600,0,0,359,8,8,375,0,False,1830,2045,79,0,24,2,10,1,1,0,1,7,1,0,0,0,0,33,1,1,2,0,0,0,5,0,2,1,0,0,5,3,1,1,1,0,1,3,7,12,6,0,0,1,2,6,0,5,116,2,2,0,1,2,1,2,4,0,2,1,0,0,0,1, نداء تونس:1  حركة النهضة:1  الاتحاد الوطني الحر:1  حركة الشعب:1  المبادرة:1  :  
17,7,4,107,1,524,378,600,6,216,222,378,600,0,0,337,26,15,378,0,False,1830,2140,70,2,22,4,9,0,0,0,2,7,2,2,1,0,1,15,2,0,2,1,0,3,1,0,1,0,0,1,15,1,0,1,3,3,2,0,16,9,3,0,0,1,0,4,0,6,107,1,1,1,0,2,0,0,4,0,4,1,2,0,1,1, نداء تونس:1  رد الاعتبار:1  حركة النهضة:1  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  
17,7,4,106,1,592,429,702,0,273,273,429,702,0,0,419,4,6,429,0,False,1847,2108,62,3,43,3,1,0,0,1,0,21,0,0,1,2,1,19,0,0,3,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,3,16,17,8,1,0,1,0,0,0,4,162,4,0,0,1,1,0,1,4,0,24,1,3,0,0,2,المستقلة الاقلاع:1  رد الاعتبار:1   نداء تونس:2  حركة النهضة:1  حركة الشعب:1  الاتحاد الوطني الحر:1  
