circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, إتحاد الشباب الديمقراطي التونسي,آفاق تونس,إتحاد القوى الوطنية,إرادة الشعب,الأديب للتنمية والعدالة,الأمان,الائتلاف المستقل لحركة نور تونس,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحركة الديمقراطية للاصلاح والبناء,الحزب الاشتراكي,الحزب الجمهوري,الحزب الليبرالي التونسي,الرافدة,الشعب يريد,الصباح الجديد لتونس,العريضة الشعبية,القائمة البورقيبية,المؤتمر من أجل الجمهورية,المبادرة,باب الأمل,تحيا تونس,تيار المحبة,جوهرة,حركالتونسي,حركة الاقلاع إلى المستقبل,حركة الديمقراطيين الاشتراكيين ,حركة الربيع العربي,حركة الشعب,حركة النهضة,حزب التكتل,حزب التكتل الشعبي من أجل تونس,حزب العدل والتنمية ,حزب العمل التونسي,حزب القيم الوطنية,حزب المستقبل,حضر موت,سيادة الشعب,صوت شعب تونس,حركة نداء تونس,observers
20,9,2,100,3,556,444,600,1,155,156,444,600,0,0,432,5,7,444,0,True,18h20,21h30,0,13,0,0,0,0,0,3,2,1,6,6,0,0,1,1,3,0,0,0,0,1,0,6,12,0,1,1,0,1,3,1,0,0,111,3,0,0,2,1,0,0,0,1,252,المبادرة:1  حركة النهضة:1  نداء تونس:1  
20,9,2,100,2,556,458,600,13,132,145,455,600,0,3,440,8,7,455,0,True,19h05,22h05,0,11,0,1,0,0,1,3,1,1,3,9,0,0,0,0,7,0,2,0,0,1,1,0,16,0,4,1,0,1,1,4,0,0,138,4,2,0,0,0,0,0,0,2,226,حركة النهضة:1  نداء تونس:1  المبادرة:1  
20,9,2,100,1,556,462,600,3,136,139,461,599,1,2,439,15,7,461,0,True,18:47,21:40,0,12,0,2,0,0,1,2,1,5,0,4,0,2,0,4,3,0,1,1,0,1,1,2,19,0,4,4,2,0,5,3,0,3,82,6,1,0,0,0,1,0,1,2,264,نداء تونس:1  المبادرة:1  حركة النهضة:2  الحزب الجمهوري:1  
20,9,2,99,2,597,420,700,0,280,280,420,700,0,0,416,4,0,420,0,True,18,,0,28,0,0,0,0,0,4,1,0,7,9,0,1,1,0,1,1,0,0,0,0,0,7,10,0,0,2,2,0,0,0,0,0,77,0,1,0,0,0,0,0,0,0,264,نداء تونس:2  حركة النهضة:2  
20,9,2,99,1,597,516,600,2,82,84,516,600,0,0,499,14,3,516,0,True,1830,2125,0,6,0,2,0,1,0,0,1,4,5,10,0,0,0,0,3,1,2,0,0,0,2,4,10,2,3,4,2,1,0,2,0,1,104,0,1,0,2,1,2,0,1,0,322,حركة النهضة:2  نداء تونس:2  المبادرة:1  
20,9,1,98,4,455,323,500,3,174,177,323,500,0,0,321,1,1,323,0,True,1830,2215,0,22,0,1,0,1,0,6,2,5,6,6,1,1,0,0,2,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,36,1,0,0,0,0,0,0,0,1,221,حركة النهضة:1  نداء تونس:1  
20,9,1,98,3,456,304,500,0,196,196,304,500,0,0,301,1,2,304,0,True,1840,2135,0,16,1,1,0,0,0,6,0,3,6,9,0,0,0,0,5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,1,0,214,حركة النهضة:1  نداء تونس:1  
20,9,1,98,2,456,374,500,12,114,126,374,500,0,0,369,4,1,374,0,True,18:50,22:40,0,12,1,0,0,0,0,4,0,5,6,8,0,0,0,0,5,0,0,0,0,0,1,2,7,0,2,2,0,0,1,0,0,2,62,1,1,0,0,0,0,0,0,0,247,حركة النهضة:1  نداء تونس:1  
20,9,1,98,1,456,365,500,1,135,136,364,500,0,1,355,4,5,364,0,True,18:18,23:56,0,7,0,0,1,1,0,1,0,4,3,11,1,0,1,0,1,0,1,0,0,1,2,2,11,1,0,0,0,0,0,2,1,1,49,3,0,0,0,0,0,0,0,1,249,حركة النهضة:1  نداء تونس:1  
20,9,1,97,7,513,401,600,3,196,199,401,600,0,0,393,4,4,401,0,True,1855,2045,0,28,0,0,0,0,0,5,2,2,3,9,0,2,0,0,2,0,0,0,0,0,1,3,8,1,0,0,0,0,1,0,0,2,52,1,0,0,0,0,0,0,1,0,270,حركة النهضة:1  نداء تونس:1  آفاق تونس:1  
