circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أمان,اتحاد القوى الشابية,الأغلبية الصامتة,الأمة,الائتلاف الديمقراطي,الاتحاد الوطني الحر,الاتحاد من أجل تونس,البيئة تجمعنا,التحالف الديمقراطي ,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسي,الحداثة والأصالة,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الخضر,الربيع العربي لتحقيق السيادة الاقتصادية,السيادة,الشباب الموحد لغد أفضل,الصمود,القوى المستقلة ببن عروس,الكرامة والمساواة,المؤتمر من أجل الجمهورية,المبادرة,الوعد الصادق,الوفاء لمشروع الشهيد,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاجتماعيين,حركة الشباب الوطني التونسي,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب البناء الوطني,حزب الديمقراطيين الاشتراكيين,حزب العدالة والتنمية,حزب العمل التونسي,حزب المؤتمر الشعبي,حزب المجد,صوت شعب تونس,فجر البناء,قائمة أمل تونس,قائمة المهنيين ,نداء قرطاج,نور المستقبل,observers
3,9,4,90,5,530,404,600,1,196,197,403,600,0,1,400,2,1,403,0,False,18.30,21.49,0,31,0,0,1,0,1,26,3,0,3,1,18,22,0,0,1,0,15,1,0,0,0,0,1,0,7,2,0,1,0,0,0,0,0,82,171,4,0,1,0,0,2,2,2,0,0,0,1,1,0,حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  
3,9,4,90,4,534,428,619,0,191,191,428,619,0,0,424,1,3,428,0,False,18.00,21.00,0,24,1,0,0,0,0,24,4,0,1,2,20,16,0,0,1,1,18,0,0,0,0,0,1,0,6,0,0,0,2,0,0,0,1,114,176,3,0,1,0,0,1,0,1,1,2,0,1,2,0,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
3,9,4,90,3,534,451,600,1,149,150,450,600,0,1,444,3,3,450,450,False,1506,2130,0,27,0,0,0,1,2,13,6,0,1,5,23,14,1,0,1,0,15,0,0,0,0,0,0,0,7,1,0,1,1,0,0,1,2,137,177,2,0,0,1,1,0,0,0,1,2,0,0,1,0,حركة النهضة:1  الحزب الجمهوري:1  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  حركة نداء تونس:1  
3,9,4,90,2,534,454,600,0,146,146,454,600,0,0,447,5,2,454,0,False,18.10,20.50,0,15,1,1,0,0,0,12,4,0,2,4,13,21,0,0,1,1,16,0,0,0,0,1,2,0,3,3,1,1,1,3,0,4,1,130,191,2,1,0,1,0,1,0,2,0,1,2,1,4,0,حركة النهضة:2  حركة نداء تونس:2  الاتحاد الوطني الحر:1  الجبهة الشعبية:1  
3,9,4,90,1,534,450,600,0,150,150,450,600,0,0,437,6,7,450,0,False,18.35,21.30,0,11,0,0,0,0,2,9,5,0,0,4,9,16,1,0,1,2,11,0,0,0,0,0,0,0,1,2,1,0,3,1,0,1,1,103,234,5,1,0,1,1,0,0,0,0,1,1,2,6,1,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
3,9,4,89,3,554,420,600,3,177,180,420,600,0,0,416,3,1,420,0,False,19.38,,0,18,0,0,0,0,0,34,3,0,4,3,17,20,0,0,1,0,11,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,81,209,1,0,1,0,0,1,0,1,0,0,1,0,0,1,الجبهة الشعبية:2  حركة النهضة:1  حركة نداء تونس:3  
3,9,4,89,2,555,468,600,0,132,132,468,600,0,0,459,4,5,468,0,False,18.44,22.30,0,19,0,0,0,0,2,11,2,0,4,3,18,25,0,0,0,0,20,0,0,0,1,0,3,0,6,3,0,0,1,0,0,0,0,134,199,2,0,0,2,0,0,0,2,0,0,1,0,1,0,الجبهة الشعبية:1  حركة النهضة:1  حركة نداء تونس:1  
3,9,4,89,1,555,478,600,1,122,123,477,600,0,1,464,9,4,477,0,False,18.35,21.18,0,14,2,0,0,0,5,11,3,1,5,1,7,17,1,0,1,1,10,0,2,0,0,0,1,0,5,2,0,0,1,1,0,2,0,101,246,6,1,0,0,0,0,0,1,3,8,0,1,4,0,حركة النهضة:1  الجبهة الشعبية:1  الحزب الجمهوري:1  حركة نداء تونس:2  
3,9,3,88,8,526,355,600,0,245,245,355,600,0,0,349,2,4,355,0,False,18.38,20.45,1,18,0,1,0,0,1,48,3,0,2,1,12,15,0,0,0,1,14,0,0,0,1,0,0,0,11,1,0,1,0,2,0,2,1,77,127,4,0,0,0,0,0,1,0,1,0,0,2,1,0,حركة النهضة:1  حركة نداء تونس:1  
3,9,3,88,7,531,324,600,0,276,276,324,600,0,0,315,3,6,324,0,False,19.00,21.50,1,7,2,0,1,2,1,16,1,0,4,0,9,23,0,0,0,0,10,0,0,0,0,0,0,1,8,0,0,0,4,1,0,3,2,113,95,0,0,0,1,0,0,2,0,2,0,1,2,3,0,الحزب الجمهوري:1  حركة نداء تونس:1  حركة النهضة:1  الجبهة الشعبية:1  
3,9,3,88,6,531,368,600,1,231,232,368,600,0,0,365,1,2,368,0,True,1900,2200,0,12,0,0,0,0,1,22,1,0,2,1,13,15,1,0,1,0,19,1,0,1,0,0,0,0,8,5,0,0,4,2,0,3,6,117,118,5,0,0,0,0,1,0,0,1,1,0,0,3,1,الاتحاد الوطني الحر:1  حركة النهضة:1  حركة نداء تونس:1  
3,9,3,88,5,531,374,600,2,224,226,374,600,0,0,370,3,1,374,0,False,19.02,21.58,0,11,0,0,0,0,1,31,4,1,1,2,12,14,0,0,3,0,12,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,0,127,134,2,1,0,0,0,1,0,1,0,1,0,1,0,2,حركة النهضة:1  الجبهة الشعبية:1  الحزب الجمهوري:1  حركة نداء تونس:1  
3,9,3,88,4,531,405,598,4,189,193,405,598,0,0,390,10,5,405,0,False,19.38,23.06,4,10,0,0,0,0,0,33,4,1,1,1,6,19,0,0,1,1,12,1,0,0,0,1,0,0,4,1,0,0,4,1,0,3,2,136,117,2,0,0,3,3,2,2,0,2,5,1,2,5,0,حركة النهضة:1  حركة نداء تونس:1  
3,9,3,88,3,531,393,600,0,207,207,393,600,0,0,373,19,1,393,0,False,18.36,20.35,0,6,0,0,1,0,1,25,3,0,1,2,10,15,1,1,1,0,14,1,0,0,0,1,2,0,5,3,1,1,4,2,0,2,4,153,89,2,1,0,1,2,1,0,1,1,5,1,2,4,3,حركة النهضة:1  حركة نداء تونس:1  
3,9,3,88,2,531,423,600,4,174,178,422,600,0,1,394,24,4,422,0,False,18.55,21.50,0,5,1,1,0,0,2,21,5,0,0,2,4,11,1,0,1,1,13,1,1,2,1,0,2,0,3,10,1,1,3,1,1,2,1,122,141,3,1,0,1,3,1,1,2,1,10,3,5,2,0,حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  
3,9,3,88,1,531,427,602,1,173,174,428,602,0,0,405,18,5,428,0,False,18h25,22h45,2,7,0,0,0,1,1,21,1,1,3,5,8,15,1,0,2,2,18,0,0,1,0,4,2,2,0,6,0,0,1,3,2,7,4,98,158,1,2,1,0,2,2,0,0,1,14,1,3,2,0,حركة النهضة:1  حركة نداء تونس:1  
3,9,2,87,3,506,331,600,0,269,269,331,600,0,0,324,7,0,331,0,False,18:30,20:50,7,3,1,1,0,0,1,39,1,1,1,1,10,21,0,0,1,1,11,0,0,0,0,1,1,0,4,0,0,0,0,1,1,0,0,89,110,5,0,0,2,1,1,1,0,1,2,0,0,4,0,حركة النهضة:1  حركة نداء تونس:1  الجبهة الشعبية:1  
3,9,2,87,2,508,365,600,0,235,235,365,600,0,0,356,4,5,365,0,True,18:30,21,8,8,0,3,0,0,2,46,2,1,1,0,7,14,1,0,3,1,5,1,0,0,0,1,2,1,3,7,0,0,2,1,0,2,1,125,96,1,2,0,1,0,1,3,0,0,2,1,0,1,0,الحزب الجمهوري:1  المبادرة:1  حركة النهضة:1  الجبهة الشعبية:1  حركة نداء تونس:1  
3,9,2,87,1,508,397,600,0,203,203,397,600,0,0,354,25,18,397,0,False,18:45,21:50,10,6,1,0,1,0,6,29,3,0,2,2,6,8,2,1,1,1,5,1,0,2,1,3,4,0,2,6,1,2,2,0,0,1,0,91,112,2,1,1,3,4,2,1,2,1,10,3,7,4,1,حركة النهضة:1  الاتحاد الوطني الحر:1  حركة نداء تونس:1  
3,9,1,86,2,571,465,700,0,235,235,465,700,0,0,461,4,0,465,0,False,19:55,21:57,0,27,0,0,0,0,0,15,12,1,1,2,15,12,0,0,1,2,14,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,76,275,0,2,0,1,0,0,0,0,0,0,0,0,0,0,حركة النهضة:1  الاتحاد الوطني الحر:2  حركة نداء تونس:2  
3,9,1,86,1,571,492,702,1,209,210,492,702,0,0,488,2,2,492,0,True,18.15,20.41,0,16,0,0,0,1,1,7,7,1,0,3,6,18,2,1,1,0,16,0,1,0,0,1,4,0,6,1,0,0,0,0,0,0,0,90,289,1,0,1,2,0,0,1,3,1,2,1,1,3,0,الاتحاد الوطني الحر:1  الاتحاد من أجل تونس:1  حركة النهضة:1  حركة نداء تونس:3  
