circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإصلاح والتنمية,آفاق تونس,أحرار باجة,إرادة الحياة,اتحاد القوى الشبابية,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,الارادة,الانتفتاح و الوفاء,البناء الوطني,التحالف الديمقراطي,التيار الديمقراطي,الجبهة الشعبية,الجبهة الوطنية التونسية,الجبهة الوطنية للإنقاذ,الحركة الدستورية,الحزب الجمهوري,الشعب يريد ,الطريق المستقيم,الطموح و الاصلاح,الفلاح,القوة العمّالية,المؤتمر من أجل الجمهورية,المبادرة,المستقبل,المستقلون الاحرار,النور الديمقراطي و التنمية,تونس العزيزة,تونس للجميع,تيار المحبة,حركة التونسي,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الخضر للتقدم,حزب العدالة و التنمية,حزب الغد ,حزب اللقاء الدستوري,حزب المجد,حزب المحافظون التونسيّون الجدد,قائمة التحدّي,قائمة الحزب الاسلامي التونسي,observers
10,9,13,146,1,348,180,400,0,220,220,180,400,0,0,151,21,8,180,0,False,1815,2007,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,3,1,0,0,2,0,64,41,26,1,1,3,0,0,0,1,0,1,حركة النهضة:1  الحركة الدستورية:1  حركة الشعب:1  
10,9,13,145,2,302,142,400,0,258,258,142,400,0,0,140,2,0,142,0,False,1825,1930,0,0,0,0,0,4,0,0,0,0,0,0,6,0,1,1,1,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,43,38,37,1,0,1,0,1,0,0,0,0,حركة نداء تونس:1  حركة الشعب:1  الحركة الدستورية:1  
10,9,13,145,1,303,174,400,0,226,226,174,400,0,0,139,7,28,174,0,True,1815,2010,0,2,0,0,1,5,1,0,2,0,0,1,6,1,0,3,0,0,2,1,3,0,2,2,1,1,0,1,1,0,0,1,27,37,34,2,0,1,0,0,0,0,0,0,حركة الشعب:1  حركة نداء تونس:1  
10,9,12,144,2,427,206,500,0,294,294,206,500,0,0,186,15,5,206,0,False,1830,2126,1,0,0,0,0,5,1,2,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,3,2,0,1,1,0,108,38,9,1,0,2,0,4,0,0,0,1,حركة النهضة:1  حركة نداء تونس:1  تيار المحبة:1  
10,9,12,144,1,428,294,500,0,206,206,294,500,0,0,246,44,4,294,0,False,,2100,0,1,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,1,1,1,2,0,172,40,8,1,1,1,0,2,1,0,2,0,حركة النهضة:1  حركة نداء تونس:1  حركة الشعب:1  
10,9,12,143,2,527,209,600,0,391,391,209,600,0,0,182,20,7,209,0,False,1800,1940,0,0,0,0,0,3,0,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,1,2,0,0,1,0,1,119,27,12,1,1,3,1,1,0,0,0,0,حركة النهضة:1  حركة نداء تونس:1  حركة الشعب:1  
10,9,12,143,1,528,316,600,0,284,284,316,600,0,0,262,15,39,316,0,False,1800,,2,1,0,0,0,2,0,3,1,1,2,1,0,1,1,0,0,1,1,0,2,0,2,6,2,1,1,4,2,2,1,0,151,43,20,0,0,3,1,0,1,2,1,0,حركة النهضة:1  حركة نداء تونس:1  حركة الشعب:1  
10,9,11,142,1,360,149,400,0,251,251,149,400,0,0,132,15,2,149,0,False,1827,2000,1,1,0,0,0,8,0,0,1,0,1,1,3,0,1,2,0,0,1,1,1,0,2,2,1,0,1,1,1,1,1,0,33,21,47,1,0,3,0,1,0,0,1,0,حركة الشعب:1  حركة النهضة:1  حركة نداء تونس:1  
10,9,10,141,1,556,263,600,1,337,338,262,600,0,1,202,41,19,262,262,False,1800,2100,0,0,1,0,0,5,1,21,1,0,1,1,3,1,1,0,0,0,1,2,5,0,1,4,1,1,3,3,3,3,1,1,61,27,31,10,1,3,1,1,1,0,0,1,حركة النهضة:1  حركة الشعب:1  
10,9,9,140,2,320,201,400,1,198,1,201,202,198,0,182,17,2,201,0,True,1810,1940,0,0,2,0,0,8,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,105,28,16,1,1,2,1,0,1,0,0,0,الاتحاد الوطني الحر:1  الحركة الدستورية:1  
