circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,اتحاد الشباب الديمقراطي التونسي,الاتحاد الوطني الحر,الاتحاد من أجل تونس ,البناء الوطني,التآلف الوطني,التحالف الديمقراطي,التكتل من أجل العمل والحريات,التيار الديمقراطي,الجبهة الشعبية,الحزب الجمهوري,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,المؤتمر من أجل الجمهورية,المبادرة,الوحدة الوطنية المستقلة,تونس اقوى,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة الشعب,حركة النهضة,حركة نداء تونس,حركة وفاء,حزب الأمان,حزب الاصالة,حزب الانفتاح والوفاء,حزب العدالة والتنمية,حزب الغد,حزب المجد,حزب حركة الدستوريين الاحرار,حماة الوطن,شباب مدنين,صوت شعب تونس,من أجل تحقيق سلطة الشعب,observers
26,6,6,142,3,470,250,600,0,350,350,250,600,0,0,220,24,6,250,0,False,1800,2015,14,0,9,30,0,0,2,2,0,16,3,0,1,3,0,0,0,1,0,13,68,55,0,0,0,0,0,0,0,0,1,1,0,1,حركة نداء تونس:1  الاتحاد من أجل تونس :1  الاتحاد الوطني الحر:1  الحزب الجمهوري:1  آفاق تونس:1  حركة النهضة:1  
26,6,6,142,2,469,345,600,2,253,255,345,600,0,1,331,8,6,345,0,True,18:10,20:50,29,1,7,31,0,1,1,5,0,21,0,0,0,11,0,1,1,0,1,30,110,77,0,0,0,1,0,1,0,0,1,1,0,0,الاتحاد من أجل تونس :1  آفاق تونس:1  حركة النهضة:1  حركة نداء تونس:1  
26,6,6,142,1,469,351,602,0,251,0,351,351,351,0,321,16,14,351,0,False,18:19,20:56,23,0,8,16,2,1,3,1,1,17,4,0,0,2,4,0,1,0,0,38,96,88,0,1,1,2,2,0,0,1,1,2,3,3,حركة النهضة:1  حركة نداء تونس:1  آفاق تونس:1  الاتحاد من أجل تونس :1  التكتل من أجل العمل والحريات:1  الاتحاد الوطني الحر:1  
26,6,6,141,4,518,262,600,0,338,338,262,600,0,0,252,8,2,262,0,True,18:05,20:30,27,0,5,7,0,0,5,7,1,21,2,0,0,3,1,1,0,0,1,18,92,59,1,0,0,0,0,0,0,0,0,1,0,0,حركة النهضة:1  آفاق تونس:1  حركة نداء تونس:1  
26,6,6,141,3,518,310,589,0,279,279,310,589,0,0,304,4,2,310,0,True,18:15,20:30,25,0,2,17,0,0,15,5,2,32,3,0,0,4,0,0,0,1,0,13,100,80,0,0,0,0,1,0,1,0,0,2,1,0,حركة النهضة:1  المؤتمر من أجل الجمهورية:1  الحزب الجمهوري:1  آفاق تونس:1  حركة نداء تونس:1  
26,6,6,141,2,518,389,600,1,211,212,388,600,0,1,374,13,2,389,0,True,18.30,21.39,20,0,1,15,0,0,14,7,0,46,1,0,0,4,1,4,0,1,0,43,108,102,0,0,1,0,2,0,0,0,0,1,0,2,آفاق تونس:1  الاتحاد من أجل تونس :1  حركة النهضة:1  الجبهة الشعبية:1  التحالف الديمقراطي:1  
26,6,6,141,1,518,351,600,6,243,249,351,600,0,0,315,28,8,351,0,True,18:01,20:55,21,0,5,14,3,0,16,5,0,20,2,0,2,7,3,1,2,1,1,18,77,100,4,2,2,1,2,0,1,0,2,2,0,1,الاتحاد من أجل تونس :1  آفاق تونس:1  حركة نداء تونس:1  حركة النهضة:1  
26,6,5,140,2,477,237,596,0,359,359,237,596,0,0,233,1,3,237,0,True,18:15,19:30,18,0,6,12,0,1,2,3,3,11,3,0,0,11,1,0,1,1,0,26,108,24,1,0,0,0,0,0,0,0,0,1,0,0,حركة نداء تونس:2  الاتحاد من أجل تونس :1  حركة النهضة:1  آفاق تونس:1  
26,6,5,140,1,477,333,605,2,270,272,333,605,0,0,319,8,6,333,0,False,18:10,20:10,33,0,7,8,0,0,2,9,1,11,6,0,0,8,6,2,0,4,2,38,120,48,0,0,0,2,1,2,1,0,1,3,1,3,حركة النهضة:1  آفاق تونس:1  الجبهة الشعبية:1  حركة نداء تونس:1  الحزب الجمهوري:1  الاتحاد من أجل تونس :1  حركة الشعب:1  
26,6,5,139,3,468,269,596,0,326,26,270,596,0,0,262,4,4,270,0,False,18.15,20.04,18,1,19,2,0,0,5,7,0,13,2,0,1,8,2,0,0,1,0,47,112,19,1,0,3,0,0,0,0,0,1,0,0,0,آفاق تونس:1  الحزب الجمهوري:1  حركة النهضة:1  حركة نداء تونس:1  
26,6,5,139,2,467,357,596,0,239,239,357,596,0,0,348,5,4,357,0,False,18:50,21:25,24,0,8,8,0,0,6,8,2,35,3,0,2,3,0,0,0,2,0,68,149,21,2,0,0,0,0,0,0,0,3,1,2,1,آفاق تونس:1  حركة النهضة:2  حركة الشعب:1  الاتحاد من أجل تونس :1  تيار المحبة:1  التحالف الديمقراطي:1  
26,6,5,139,1,467,356,600,0,244,244,356,600,0,1,334,11,11,356,0,False,1925,2125,26,1,9,3,0,0,8,19,1,26,0,1,0,3,1,0,2,5,1,62,115,38,0,0,4,1,1,3,0,0,1,1,1,1,التكتل من أجل العمل والحريات:1  الاتحاد من أجل تونس :1  آفاق تونس:1  
26,6,4,138,1,356,286,400,0,114,114,286,400,0,0,271,6,9,286,0,False,1800,1955,13,0,30,0,0,0,1,0,0,4,19,0,0,4,1,0,0,2,0,2,165,6,2,1,2,0,0,1,1,6,4,4,3,0,حركة الشعب:1  حركة النهضة:1  تيار المحبة:1  
26,6,3,137,2,599,372,699,3,324,327,372,699,0,0,366,5,1,372,0,False,1830,2140,29,0,14,5,1,0,2,12,4,12,6,0,0,16,0,0,0,5,0,24,154,76,2,1,0,0,0,1,0,0,1,0,0,1,الجبهة الشعبية:1  حركة النهضة:1  
26,6,3,137,1,600,462,700,25,213,238,462,700,0,0,444,15,3,462,0,False,1815,2136,56,1,9,8,1,0,1,10,3,13,9,0,0,14,5,0,2,2,2,28,172,97,0,0,0,0,1,1,2,1,1,1,1,3,حركة نداء تونس:1  التحالف الديمقراطي:1  الحزب الجمهوري:1  
26,6,3,136,2,399,258,500,5,237,242,258,0,0,0,252,1,5,258,0,True,1810,2100,18,0,6,10,0,0,5,8,2,8,4,0,0,14,0,0,0,1,1,43,86,42,3,0,0,0,0,0,0,0,0,0,1,0,حركة النهضة:1  التكتل من أجل العمل والحريات:1  الاتحاد من أجل تونس :1  
26,6,3,136,1,399,295,500,0,205,205,295,500,0,0,268,12,15,295,0,True,1830,2215,28,0,4,9,1,1,4,7,0,8,3,0,0,11,0,1,0,1,0,42,98,38,1,1,1,0,1,0,0,1,1,3,1,2,حركة النهضة:1  الاتحاد من أجل تونس :1  حركة نداء تونس:1  
26,6,2,135,2,385,221,500,0,279,279,221,500,0,0,217,2,2,221,0,False,18.15,19.45,14,0,8,5,0,0,1,2,2,18,1,0,0,6,0,1,0,1,0,25,89,38,2,0,0,0,0,1,0,0,0,2,1,0,حركة النهضة:1  الجبهة الشعبية:1  حركة الشعب:1  آفاق تونس:1  
26,6,2,135,1,385,284,500,0,216,216,284,500,0,0,274,6,4,284,0,False,1830,2009,13,0,3,8,0,0,2,17,5,15,2,0,1,5,1,0,0,1,0,42,112,40,1,0,0,0,0,1,1,0,3,1,0,0,حركة نداء تونس:1  الجبهة الشعبية:1  الاتحاد الوطني الحر:1  
26,6,2,134,3,401,230,500,0,270,270,230,500,0,0,226,2,2,230,0,False,1821,2007,17,0,8,5,0,0,0,5,5,13,1,0,0,12,0,3,0,0,0,25,98,26,1,1,0,0,1,1,0,1,1,1,1,0,حركة النهضة:1  آفاق تونس:1  المؤتمر من أجل الجمهورية:1  التكتل من أجل العمل والحريات:1  
26,6,2,134,2,402,276,500,2,222,224,276,500,0,0,271,0,5,276,0,True,1800,,17,0,6,7,0,0,1,4,4,16,2,0,0,13,0,1,1,0,0,66,94,34,2,0,1,1,0,0,0,0,1,0,0,0,حركة الشعب:1  :  
26,6,2,134,1,402,297,500,3,200,203,297,500,0,0,283,11,3,297,0,False,1820,2045,33,1,5,12,0,0,5,12,1,11,1,0,0,7,0,1,0,2,0,44,85,53,0,0,1,0,0,2,1,0,2,2,1,1,آفاق تونس:1  حركة النهضة:1  
26,6,1,133,2,310,195,400,4,201,205,195,400,0,0,193,0,2,195,0,False,18.23,20.40,4,0,3,6,0,0,6,0,1,5,0,0,1,4,0,0,0,0,0,23,102,28,1,0,0,0,0,1,0,0,8,0,0,0,حركة النهضة:2  آفاق تونس:1  حركة الشعب:1  الاتحاد من أجل تونس :1  
26,6,1,133,1,310,238,400,1,162,163,237,400,0,1,228,6,3,237,0,True,1800,2000,12,0,3,7,0,0,8,0,3,4,2,1,0,2,2,1,1,5,2,21,87,48,0,1,1,2,1,0,1,0,10,2,0,1,حركة النهضة:  حركة نداء تونس:  آفاق تونس:  
26,6,1,132,1,71,36,100,0,64,64,36,100,0,0,34,1,1,36,0,False,"18,27","19,25",3,0,1,1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,2,14,3,0,0,0,0,0,0,0,0,4,0,0,0,حركة النهضة:  حزب حركة الدستوريين الاحرار:  
