circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon,آفاق تونس,أولاد الشعب,أولاد زغوان,اتحاد الشباب الديمقراطي التونسي,اتحاد القوى الشبابية,الأمان بزغوان,الاتحاد الوطني الحر,البناء الوطني,التحالف الحر,التحالف الديمقراطي,التحدي لمستقبل أفضل,التكتل من أجل العمل والحريات,التيار الديمقراطي,الثقافة والتنوع,الجبهة الشعبية,الجبهة الوطنية للانقاذ,الحركة الدستورية,الحزب الاشتراكي,الحزب الجمهوري,الربيع العربي لتحقيق السيادة الاقتصادية,الشعب يريد,الصفاء,العدل أساس الملك,العلم نور,القائمة المستقلة لولاية زغوان ,المؤتمر من أجل الجمهورية,المبادرة,النسري,النسور ,النصر,تحيا تونس,تونسنا,تيار المحبة,حركة الديمقراطيين الاشتراكيين,حركة النهضة,حركة وفاء,حزب تونس للجميع,حزب صوت الفلاحين,شباب تونس,شباب زغوان لحزب المستقبل,صوت شعب تونس,قائمة الأمل,حركة نداء تونس,نداء قرطاج,observers
13,5,8,97,1,573,409,700,1,290,291,409,700,0,0,361,6,42,409,0,False,1835,2040,4,1,0,2,0,1,39,3,4,2,2,4,0,0,4,2,5,5,0,0,3,1,0,3,6,1,6,1,3,0,1,0,1,1,49,13,3,3,0,1,1,0,183,3,نداء تونس:2  حركة النهضة:1  الاتحاد الوطني الحر:2  
13,5,7,96,1,507,374,600,2,224,226,374,600,0,0,353,13,8,374,0,True,1815,2115,5,0,1,0,0,2,13,2,2,2,1,1,1,0,13,1,4,7,1,0,1,0,1,1,5,2,0,0,1,0,0,4,6,1,69,3,5,3,5,1,3,1,179,6,آفاق تونس:1  صوت شعب تونس:1  حركة النهضة:1  الحركة الدستورية:1  تيار المحبة:1  الاتحاد الوطني الحر:1  نداء تونس:1  :  
13,5,7,95,1,126,86,200,0,114,114,86,200,0,0,83,1,2,86,0,False,1845,1930,0,0,0,0,0,0,5,3,0,0,0,1,0,1,0,0,1,3,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,24,0,2,4,0,1,0,0,30,0,نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
13,5,7,94,1,439,335,500,3,162,165,335,500,0,0,309,19,7,335,0,False,18h30,20h15,3,0,0,2,12,2,17,1,10,1,1,1,1,0,12,1,3,1,1,0,1,1,0,0,2,4,3,1,2,0,2,1,10,0,68,22,1,2,5,2,1,3,108,1,صوت شعب تونس:1  التحالف الحر:1  نداء تونس:1  حركة النهضة:1  
13,5,6,93,2,342,215,400,0,185,185,215,400,0,0,209,5,1,215,0,False,18h15,19h41,6,1,2,2,0,0,1,0,1,1,0,1,2,0,11,0,1,1,1,0,0,1,0,7,1,2,0,1,0,0,0,1,37,0,36,1,0,1,0,1,2,1,80,1,تونسنا:1  الاتحاد الوطني الحر:1  نداء تونس:1  حركة النهضة:1  آفاق تونس:1  الحركة الدستورية:1  
13,5,6,93,1,342,275,400,0,125,125,275,400,0,0,261,8,6,275,0,False,1840,,3,0,0,0,1,2,30,1,1,3,4,4,0,1,9,1,6,1,0,2,2,1,2,12,5,5,1,0,1,1,0,1,5,1,48,2,5,1,3,0,2,1,90,3,الاتحاد الوطني الحر:1  حركة النهضة:1  صوت شعب تونس:1  آفاق تونس:2  نداء تونس:1  
13,5,6,92,1,577,391,700,1,308,309,391,700,0,0,369,9,13,391,0,False,18h30,21h50,8,1,5,1,1,1,15,15,4,5,1,3,2,0,9,0,2,7,10,0,3,1,1,2,1,2,5,0,3,1,2,4,9,4,44,7,7,5,4,1,1,4,167,1,تونسنا:1  آفاق تونس:1  حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  الحركة الدستورية:1  
13,5,5,91,1,217,148,300,0,152,152,148,300,0,0,138,8,2,148,0,False,19h,19h45,2,2,1,2,0,2,6,3,2,1,0,2,1,1,1,1,0,5,2,1,0,0,0,0,0,5,1,5,2,0,2,0,7,3,23,3,3,1,3,0,0,4,41,0,حركة النهضة:1  
13,5,5,90,1,96,73,200,0,127,127,73,200,0,0,68,4,1,73,0,False,1820,1924,0,0,0,0,0,2,6,2,2,1,1,1,2,1,10,0,0,3,2,0,0,0,0,0,1,2,1,0,0,0,0,4,0,0,11,0,2,0,1,0,1,0,12,0,حركة النهضة:1  الاتحاد الوطني الحر:2  
13,5,5,89,1,47,34,100,0,66,66,34,100,0,0,31,2,1,34,0,True,18h15,19h,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,1,0,2,0,0,0,12,0,حركة النهضة:1  
13,5,5,88,1,293,184,400,0,216,216,184,400,0,0,174,7,3,184,0,False,18h15,19h20,2,1,0,0,2,1,7,2,7,0,4,4,2,2,4,0,1,6,7,0,1,1,2,0,2,1,5,1,3,1,0,1,0,2,56,2,4,2,3,4,3,1,23,4,حركة النهضة:1  
13,5,4,87,1,409,304,500,0,196,196,304,500,0,0,294,4,6,304,0,False,19h,20h50,9,0,0,1,0,2,10,1,5,3,2,9,3,0,11,0,1,74,3,0,1,0,0,0,0,1,4,1,1,0,1,1,2,1,82,5,3,1,2,0,1,0,53,0,حركة النهضة:1  آفاق تونس:1  
13,5,4,86,3,599,341,700,3,356,359,341,700,0,0,327,2,12,341,0,False,18h30,19h50,14,0,0,0,0,1,31,0,2,3,2,4,9,0,11,1,2,1,7,0,1,0,0,1,0,16,4,0,0,0,0,5,0,0,63,1,4,0,2,1,1,0,139,1,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  تونسنا:1  المبادرة:1  
13,5,4,86,2,599,398,700,2,300,302,398,700,0,0,385,4,9,398,0,False,18h30,20h54,9,0,0,1,0,2,15,2,4,3,0,17,6,0,9,1,0,8,9,0,2,2,0,0,1,19,5,0,2,0,0,16,0,0,82,2,2,2,3,1,1,0,158,1,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  آفاق تونس:1  تونسنا:1  الحزب الجمهوري:1  
13,5,4,86,1,599,462,701,1,241,242,459,701,0,3,416,26,17,459,0,False,19h30,20h30,11,3,2,1,1,2,17,2,4,4,1,11,3,2,3,0,3,10,4,1,4,0,0,4,1,24,1,2,1,4,2,12,2,0,71,1,12,4,3,4,0,3,172,4,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  آفاق تونس:1  تونسنا:1  تيار المحبة:1  
13,5,3,85,1,38,23,100,0,77,77,23,100,0,0,20,2,1,23,0,False,18h15,,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,8,0,الاتحاد الوطني الحر:1  حركة النهضة:1  نداء تونس:1  تونسنا:1  
13,5,3,84,3,519,344,600,1,255,256,344,600,0,0,338,2,4,344,0,False,18h40,20h40,4,0,0,0,0,0,75,1,3,0,0,0,3,0,11,0,8,2,4,0,0,0,0,0,1,3,2,0,0,0,0,1,1,0,33,1,1,0,2,1,0,0,186,1,الاتحاد الوطني الحر:2  حركة النهضة:1  نداء تونس:1  
13,5,3,84,2,519,407,600,0,193,193,407,600,0,0,394,6,7,407,0,False,1845,2115,1,1,1,1,0,0,69,5,2,0,0,1,0,0,5,0,0,3,1,0,2,0,1,2,0,4,0,0,1,0,0,2,2,0,36,2,3,0,1,1,1,0,246,0,حركة النهضة:1  نداء تونس:1  الاتحاد الوطني الحر:1  
13,5,3,84,1,519,399,601,0,202,202,399,601,0,0,351,37,11,399,0,False,18.55,21.03,4,0,3,1,0,4,44,3,0,0,3,0,1,0,4,1,3,18,6,1,3,1,1,5,0,0,4,2,1,4,1,2,2,1,30,2,12,1,2,1,2,2,175,1,الحزب الجمهوري:1  نداء تونس:2  الجبهة الشعبية:1  حركة النهضة:1  الاتحاد الوطني الحر:2  شباب زغوان لحزب المستقبل:1  
13,5,2,83,1,512,370,600,2,228,230,370,600,0,0,348,10,12,370,0,False,1832,2115,7,1,3,2,0,2,21,2,3,3,0,1,2,0,6,2,3,10,7,0,0,0,2,3,4,12,3,1,2,3,2,4,1,1,39,4,13,3,3,2,1,0,166,4,آفاق تونس:1  نداء تونس:1  حركة النهضة:1  
13,5,2,82,4,518,377,600,0,223,223,377,600,0,0,369,6,2,377,0,False,1835,2030,12,0,0,2,0,0,50,1,0,3,1,3,6,0,19,0,4,2,6,1,1,0,0,3,0,7,4,0,0,0,0,4,3,0,75,1,0,0,1,1,1,0,155,3,التحالف الحر:1  تونسنا:1  شباب زغوان لحزب المستقبل:1  نداء تونس:1  الاتحاد الوطني الحر:1  حركة النهضة:1  
